event_slug;category_name;distance;current_fee;currency;previous_fee;previous_year;fee_trend;start_time;registration_deadline;time_limit;elevation_gain;registration_url;source_url;last_checked;confidence;review_note
bmw-berlin-marathon-2026;Marathon;42.195 km;205;EUR;205;2025;current_fee_confirmed;09:15;2025-11-06;"6:15 h from crossing the start line; km 33 by 15:50; km 38 by 16:35";Needs review;https://www.bmw-berlin-marathon.com/en/registration/registration-information/;https://www.bmw-berlin-marathon.com/en/registration/registration-information/;2026-07-06;high;Core marathon fields verified from official pages. Official FAQ lists 2025-11-05 as lottery end while registration page lists 2025-11-06. Exact elevation gain/loss remains needs_review.
hermannslauf-bielefeld-2026;Hermannslauf;31.1 km;;;;;date_updated_needed;11:00;;;~550 m;;https://hermannslauf.de/;2026-06-25;medium;Official homepage confirms 25 April 2027 and 31.1 km from Detmold/Hermannsdenkmal to Bielefeld
ironman-hamburg-european-championship-2026;General Entry;Full distance;;;;;inventory_based_pricing;;;;;https://www.ironman.com/races/im-hamburg/register;https://www.ironman.com/races/im-hamburg/register;2026-06-29;medium;Official IRONMAN registration page marks General Entry sold out and states inventory-based pricing subject to change, but no public race cutoff value is exposed.
ironman-frankfurt-2026;General Entry;Full distance;;;;;inventory_based_pricing;2025 reference: Pro start 06:20, age-group rolling start 06:35-07:00;;2025 reference: 22:00 finish line cutoff;;https://www.ironman.com/races/im-frankfurt;https://www.ironman.com/races/im-frankfurt;2026-06-29;medium;Official IRONMAN page marks 2026 registration sold out and shows inventory-based pricing. Public fee value is not exposed. 2025 event schedule is used only as labelled reference for start and finish cutoff.
london-marathon-2027;Public Ballot;Marathon;;;;;needs_fee_review;;;;;https://www.londonmarathonevents.co.uk/london-marathon;https://www.londonmarathonevents.co.uk/london-marathon;2026-06-25;low;Official page provides entry paths
generali-koln-marathon-2026;Marathon;42.195 km;130;EUR;;;needs_fee_review;;;;;https://generali-koeln-marathon.de/;https://generali-koeln-marathon.de/;2026-06-27;high;Official homepage lists Marathon 130 EUR.
generali-koln-marathon-2026;Half Marathon;21.0975 km;95;EUR;;;needs_fee_review;;;;;https://generali-koeln-marathon.de/;https://generali-koeln-marathon.de/;2026-06-27;high;Official homepage lists Halbmarathon 95 EUR.
generali-koln-marathon-2026;Relay Marathon;42.195 km relay;199;EUR;;;needs_fee_review;;;;;https://generali-koeln-marathon.de/;https://generali-koeln-marathon.de/;2026-06-27;high;Official homepage lists Staffelmarathon 199 EUR.
generali-koln-marathon-2026;School Marathon;42.195 km relay;50;EUR;;;needs_fee_review;;;;;https://generali-koeln-marathon.de/;https://generali-koeln-marathon.de/;2026-06-27;high;Official homepage lists Schulmarathon 50 EUR.
generali-koln-marathon-2026;Kids Run;Kids run;9;EUR;;;needs_fee_review;;;;;https://generali-koeln-marathon.de/;https://generali-koeln-marathon.de/;2026-06-27;high;Official homepage lists Kinderlauf 9 EUR.
haspa-marathon-hamburg-2027;Marathon;42.195 km;;;;;needs_fee_review;;;;;https://haspa-marathon-hamburg.de/;https://haspa-marathon-hamburg.de/;2026-06-27;medium;Official site lists Marathon registration area for 25 April 2027.
haspa-marathon-hamburg-2027;Half Marathon;21.0975 km;;;;;needs_fee_review;;;;;https://haspa-marathon-hamburg.de/;https://haspa-marathon-hamburg.de/;2026-06-27;medium;Official site lists Half Marathon and news that half marathon places are sold out for 25 April 2027.
haspa-marathon-hamburg-2027;Relay;Marathon relay;;;;;needs_fee_review;;;;;https://haspa-marathon-hamburg.de/;https://haspa-marathon-hamburg.de/;2026-06-27;medium;Official site lists relay registration area.
mainova-frankfurt-marathon-2026;Marathon;42.195 km;;;;;needs_fee_review;;;;;https://www.frankfurt-marathon.com/;https://www.frankfurt-marathon.com/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
marathon-munchen-by-brooks-2026;Marathon;42.195 km;;;;;needs_fee_review;;;;;https://marathonmuenchen.org/;https://marathonmuenchen.org/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
marathon-munchen-by-brooks-2026;Half Marathon;21.0975 km;;;;;needs_fee_review;;;;;https://marathonmuenchen.org/;https://marathonmuenchen.org/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
marathon-munchen-by-brooks-2026;10K;10 km;;;;;needs_fee_review;;;;;https://marathonmuenchen.org/;https://marathonmuenchen.org/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
adac-marathon-hannover-2027;Marathon;42.195 km;;;;;needs_fee_review;;;;;https://www.marathon-hannover.de/;https://www.marathon-hannover.de/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
adac-marathon-hannover-2027;Half Marathon;21.0975 km;;;;;needs_fee_review;;;;;https://www.marathon-hannover.de/;https://www.marathon-hannover.de/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
adac-marathon-hannover-2027;10K;10 km;;;;;needs_fee_review;;;;;https://www.marathon-hannover.de/;https://www.marathon-hannover.de/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
uniper-marathon-dusseldorf-2027;Marathon;42.195 km;;;;;needs_fee_review;;;;;https://www.uniper-duesseldorfmarathon.de/;https://www.uniper-duesseldorfmarathon.de/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
uniper-marathon-dusseldorf-2027;Half Marathon;21.0975 km;;;;;needs_fee_review;;;;;https://www.uniper-duesseldorfmarathon.de/;https://www.uniper-duesseldorfmarathon.de/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
vienna-city-marathon-2027;Marathon;42.195 km;;;;;needs_fee_review;;;;;https://www.vienna-marathon.com/;https://www.vienna-marathon.com/;2026-06-27;low;Category structure prepared from the official event page or existing verified event distance data. Entry fee, start time, registration deadline and cutoff are shown only when verified from the official organizer source.
