event_slug;event_name;date;city;country;sport;distance;official_url;completion_score;priority;missing_count;missing_fields;present_fields;has_detail_record;last_checked;verification_status
bielefelder-triathlon-2026;Bielefelder Triathlon;28.06.2026;Bielefeld;Germany;Triathlon;Sprint / Relay / Youth;https://www.triathlon-bielefeld.de/anmeldung;0;medium;13;entry_fee, registration_status, registration_deadline, start_time, cutoff, elevation, course_info, race_day_info, travel_info, weather_info, statistics, faq, sources;;false;02.06.2026;registration_open
sormlands-100-trail-run-2026;Sörmlands 100 Trail Run;11.09.2026;Björnlunda;Sweden;Ultramarathon;8 km / 22 km / 50 km / 100 km / 100 Miles;https://www.sormlands100.com/;0;high;13;entry_fee, registration_status, registration_deadline, start_time, cutoff, elevation, course_info, race_day_info, travel_info, weather_info, statistics, faq, sources;;false;24.06.2026;registration_open
ironman-hamburg-european-championship-2026;IRONMAN Hamburg European Championship;07.06.2026;Hamburg;Germany;Triathlon;Full;https://www.ironman.com/races/im-hamburg;38;high;8;entry_fee, registration_deadline, start_time, cutoff, elevation, race_day_info, statistics, faq;registration_status, course_info, travel_info, weather_info, sources;true;2026-06-30;verified_official_source
ironman-frankfurt-2026;IRONMAN Frankfurt;28.06.2026;Frankfurt;Germany;Triathlon;Full;https://www.ironman.com/races/im-frankfurt;46;high;7;entry_fee, registration_deadline, start_time, cutoff, elevation, statistics, faq;registration_status, course_info, race_day_info, travel_info, weather_info, sources;true;2026-06-30;verified_official_source
ironman-70-3-duisburg-2026;IRONMAN 70.3 Duisburg;16.08.2026;Duisburg;Germany;Triathlon;Middle;https://www.ironman.com/races/im703-duisburg;0;high;13;entry_fee, registration_status, registration_deadline, start_time, cutoff, elevation, course_info, race_day_info, travel_info, weather_info, statistics, faq, sources;;false;02.06.2026;sold_out
ironman-70-3-leipzig-2026;IRONMAN 70.3 Leipzig;23.08.2026;Leipzig;Germany;Triathlon;Middle;https://www.ironman.com/races/im703-leipzig;0;high;13;entry_fee, registration_status, registration_deadline, start_time, cutoff, elevation, course_info, race_day_info, travel_info, weather_info, statistics, faq, sources;;false;02.06.2026;sold_out
ironman-70-3-erkner-2026;IRONMAN 70.3 Erkner;13.09.2026;Erkner;Germany;Triathlon;Middle;https://www.ironman.com/races/im703-erkner;0;high;13;entry_fee, registration_status, registration_deadline, start_time, cutoff, elevation, course_info, race_day_info, travel_info, weather_info, statistics, faq, sources;;false;02.06.2026;sold_out
ironman-kaernten-klagenfurt-austria-2026;IRONMAN Kaernten-Klagenfurt Austria;14.06.2026;Klagenfurt;Austria;Triathlon;Full;https://www.ironman.com/races/im-austria;0;high;13;entry_fee, registration_status, registration_deadline, start_time, cutoff, elevation, course_info, race_day_info, travel_info, weather_info, statistics, faq, sources;;false;02.06.2026;sold_out
ironman-70-3-european-championship-elsinore-2026;IRONMAN 70.3 European Championship Elsinore;21.06.2026;Elsinore;Denmark;Triathlon;Middle;https://www.ironman.com/races/im703-elsinore;0;high;13;entry_fee, registration_status, registration_deadline, start_time, cutoff, elevation, course_info, race_day_info, travel_info, weather_info, statistics, faq, sources;;false;02.06.2026;sold_out
ironman-70-3-westfriesland-2026;IRONMAN 70.3 Westfriesland;21.06.2026;Hoorn;Netherlands;Triathlon;Middle;https://www.ironman.com/races/im703-westfriesland;0;high;13;entry_fee, registration_status, registration_deadline, start_time, cutoff, elevation, course_info, race_day_info, travel_info, weather_info, statistics, faq, sources;;false;02.06.2026;sold_out
