event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image;event_id;edition_id;edition_year;edition_slug;brand_slug;organizer_name;organizer_url;official_url;registration_url;registration_status;event_status;brand_verification_status;brand_last_verified_at;edition_verification_status;edition_last_verified_at;race_formats
1. Volkslauf Seelze;Running;15.11.2026;Seelze;Germany;Seelze, Lower Saxony, Germany, Germany;52.3964639;9.594287;10 km, 5 km;Der ADAC Marathon Hannover bietet ein vielfältiges Lauferlebnis mit Distanzen von 4 bis 42 km, darunter Marathon, Halbmarathon, Staffel-Marathon, 10 km Lauf und Handbike-Marathon. Die Strecke zählt zu den flachsten Deutschlands mit nur 19 m Höhenunterschied, was Bestzeiten begünstigt. Das Event ist geprägt von urbanem Flair, moderner Musik und grünen Streckenabschnitten, die durch die Innenstadt und markante Hotspots;https://www.marathon-hannover.de/laufpass-der-region/laufpass.html;Sport Event Map verified event catalog;https://www.marathon-hannover.de/laufpass-der-region/laufpass.html;unclear;low;;2026-06-02T00:00:00+00:00;2026-08-31T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;251;05973100-a74e-4a2c-a23d-8b9c806d61c1;2026;1-volkslauf-seelze-2026;1-volkslauf-seelze;;;;;unknown;scheduled;;;verified;2026-06-02T00:00:00+00:00;
10. SaarschleifenLand-Lauf;Running;06.09.2026;Merzig;Germany;Merzig, Germany;49.4427023;6.6374902;5 km, 10 km, Half Marathon;Official endurance event in Merzig. Imported from verified staging batch.;https://www.merziger-sport-freizeitverein.de/;Sport Event Map verified event catalog;https://www.merziger-sport-freizeitverein.de/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:13.87+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;435;1c872706-b303-4d26-b097-dcd7effc27d9;2026;10-saarschleifenland-lauf-2026;10-saarschleifenland-lauf;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
10 Teiche Marathon;Running;12.09.2026;Hahnenklee;Germany;Hahnenklee, Germany;51.8602508;10.3384485;5 km, 10 km, Half Marathon, Marathon;Official endurance event in Hahnenklee. Imported from verified staging batch.;https://www.harzer-wanderwochen.de/10-teiche-marathon;Sport Event Map verified event catalog;https://www.harzer-wanderwochen.de/10-teiche-marathon;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:13.87+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;436;b45cc9f3-5885-4de8-8048-7b4f5067946f;2026;10-teiche-marathon-2026;10-teiche-marathon;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
10-Teiche-Marathon - Goslar;Running;12.09.2026;Goslar;Germany;Goslar, Germany;51.9059936;10.4266284;5 km, 10 km, Half Marathon, Marathon;Official endurance event in Goslar. Imported from verified staging batch.;https://www.hahnenklee.de/spass/harzerwanderwochen;Sport Event Map verified event catalog;https://running.life/de/termine/teiche-marathon-hahnenklee;unclear;medium;;2026-06-18T00:00:00+00:00;2026-08-28T08:54:51.585+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;966;e5bedc8e-4f23-4572-bdf7-5c03b0aa8500;2026;10-teiche-marathon-goslar-2026;10-teiche-marathon-goslar;;;;;unknown;scheduled;;;verified;2026-06-18T00:00:00+00:00;
12. Cross against Cancer;Running;13.09.2026;Homburg;Germany;Homburg, Germany;49.32146;7.3409031;5 km, 10 km, Half Marathon;Official endurance event in Homburg. Imported from verified staging batch.;https://www.miteinander-gegen-krebs.de/cross-against-cancer;Sport Event Map verified event catalog;https://www.miteinander-gegen-krebs.de/cross-against-cancer;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:13.87+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;437;cf5cf636-6823-4b92-a0c1-e06877e1ea2a;2026;12-cross-against-cancer-2026;12-cross-against-cancer;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
13. Wanzleber Sparkassen Triathlon;Triathlon;04.07.2027;Wanzleben-Börde;Germany;Wanzleben-Börde, Germany;52.058;11.444;Triathlon;Official endurance event in Wanzleben-Börde. Imported from verified staging batch.;https://www.triathlon-wanzleben.de/;Sport Event Map verified event catalog;https://www.triathlon-wanzleben.de/;unclear;medium;;2026-07-10T00:00:00+00:00;2026-08-10T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;570;61d030eb-4651-4348-bbd2-e63b23965b3c;2027;13-wanzleber-sparkassen-triathlon-2027;13-wanzleber-sparkassen-triathlon;;;;;unknown;scheduled;;;stale;2026-07-10T00:00:00+00:00;
15. Brunsberglauf;Running;06.09.2026;Buchholz in der Nordheide;Germany;Buchholz in der Nordheide, Lower Saxony, Germany, Germany;53.3187601;9.8770469;Halbmarathon, 11.7 km, 5 km;Der 15. Brunsberglauf am 6. September 2026 in Buchholz/Holm-Seppensen bietet Läufern ein abwechslungsreiches Programm mit Hauptläufen über 11,7 km, einem Halbmarathon sowie einem 5 km Familienlauf. Die Strecken führen durch Wald und blühende Heide mit Highlights wie der Höllenschlucht, dem Brunsberg, dem Mühlenteich und dem Zwergentunnel. Zusätzlich gibt es vier Kinderläufe für verschiedene Altersstufen. Im Zielberei;https://www.brunsberglauf.de/;Sport Event Map verified event catalog;https://www.brunsberglauf.de/;unclear;high;;2026-06-02T00:00:00+00:00;2026-07-02T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;259;941c43ae-33c8-48af-beac-49bcee37eba6;2026;15-brunsberglauf-2026;15-brunsberglauf;;;;;unknown;scheduled;;;stale;2026-06-02T00:00:00+00:00;
16. Köhlbrandbrückenlauf;Running;03.10.2026;Köhlbrandbrücke;Germany;Köhlbrandbrücke, Hamburg, Germany, Germany;53.517283;9.970124;12.3 km;Der Köhlbrandbrückenlauf ist Deutschlands größter Brückenlauf und führt über das Wahrzeichen im Hamburger Hafen. Die Veranstaltung bietet Läufern die einzigartige Gelegenheit, die imposante Köhlbrandbrücke zu überqueren und dabei die Hafenatmosphäre hautnah zu erleben. Der Lauf zieht jährlich zahlreiche Teilnehmer an und ist bekannt für seine besondere Streckenführung und die tolle Stimmung entlang der Route.;https://www.koehlbrandbrueckenlauf.de/;Sport Event Map verified event catalog;https://www.koehlbrandbrueckenlauf.de/;unclear;low;;2026-06-02T00:00:00+00:00;2026-08-31T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;262;55671f97-43a5-4388-8def-23bb72b33c2f;2026;16-kohlbrandbruckenlauf-2026;16-kohlbrandbruckenlauf;;;;;unknown;scheduled;;;verified;2026-06-02T00:00:00+00:00;
20. Müggelsee-Halbmarathon;Running;18.10.2026;Müggelsee-Gebiet;Germany;Müggelsee-Gebiet, Berlin, Germany, Germany;52.429805;13.67664;Halbmarathon, 10 km, 5 km;Der Müggelsee-Halbmarathon ist ein landschaftlich reizvoller Lauf im Südosten Berlins, der komplett um den Großen Müggelsee führt. Die Veranstaltung bietet drei Streckenlängen: Halbmarathon, 10 Kilometer und 5 Kilometer, die jeweils als Pendelstrecken oder Rundkurs gestaltet sind. Die Strecke verläuft unter anderem durch den historischen Spreetunnel und bietet eine idyllische Kulisse mit Blick auf den größten Berline;https://ww-sport.de/mueggelsee_hm/;Sport Event Map verified event catalog;https://ww-sport.de/mueggelsee_hm/;unclear;high;;2026-06-02T00:00:00+00:00;2026-07-02T00:00:00+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;263;633b1799-25e4-4d78-90e4-4a6402508172;2026;20-muggelsee-halbmarathon-2026;20-muggelsee-halbmarathon;;;;;unknown;scheduled;;;stale;2026-06-02T00:00:00+00:00;
21. Wutzseelauf;Running;11.10.2026;Lindow;Germany;Lindow, Germany;52.012058;12.9222766;10 km, Half Marathon;Official endurance event in Lindow. Imported from verified staging batch.;https://www.esab-ausbildung.de/startseite/wutzseelauf-lindow/;Sport Event Map verified event catalog;https://www.esab-ausbildung.de/startseite/wutzseelauf-lindow/;unclear;medium;;2026-06-17T00:00:00+00:00;2026-08-28T08:53:13.87+00:00;Generated fallback export 2026-08-26T16:23:33.120Z;;438;2eea6828-4cd3-4c20-898c-a68c8db1d39a;2026;21-wutzseelauf-2026;21-wutzseelauf;;;;;unknown;scheduled;;;verified;2026-06-17T00:00:00+00:00;
