event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Köln Marathon;Running;04.10.2026;Köln;Deutschland;L111, 50679 Köln;50.940133;6.974559;Marathon;Generali Köln Marathon;https://generali-koeln-marathon.de/anmeldung/;Google Suche;image
BMW Berlin Marathon;Running;27.09.2026;Berlin;Deutschland;Berlin, Deutschland;52.5173885;13.3951309;42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/berlin-marathon/;https://www.bmw-berlin-marathon.com/;marathon.de;https://www.marathon.de/logos/berlin-marathon.jpg
Köln Triathlon;Triathlon;06.09.2026;Köln;Deutschland;Rheinparkweg 1, 50679 Köln;50.9458861;6.9704153;Sprint, Olympic, Middle;Köln Triathlon;https://www.koeln-triathlon.com/;Google Suche;
Ironman Hamburg;Triathlon;07.06.2026;Hamburg;Deutschland;Jungfernstieg 53, 20354 Hamburg;53.553482;9.992181;Full;IRONMAN Hamburg European Championship;https://www.ironman.com/races/im-hamburg;Google Suche;
Sörmlands 100;Ultramarathon;12.11.2026;Nykoping;Schweden;Öster-Malma, 611 91 Björnlunda, Schweden;58.953481;17.155667;100 km;Sörmlands 100km Trail Ultra;https://www.sormlands100.com/;Google Suche;
Münster Marathon;Running;13.09.2026;Münster;Deutschland;Schlosspl. 2, 48149 Münster;51.963572;7.616127;Marathon;Volksbank Münster Marathon;https://www.volksbank-muenster-marathon.de/_rubric/index.php?rubric=Home%20DE;Google Suche;
Hamburg Marathon;Running;25.04.2027;Hamburg;Deutschland;Hamburg, Deutschland;53.5501721;10.0013165;21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/hamburg-marathon/;https://haspa-marathon-hamburg.de/;marathon.de;https://www.marathon.de/logos/hamburg-marathon.jpg
Frankfurt Marathon;Running;25.10.2026;Frankfurt am Main;Deutschland;Frankfurt am Main, Deutschland;50.1106444;8.6820917;42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/frankfurt-marathon/;https://www.frankfurt-marathon.com/;marathon.de;https://www.marathon.de/logos/frankfurt-marathon.jpg
München Marathon;Running;11.10.2026;München;Deutschland;Spiridon-Louis-Ring 21, 80809 München;48.171222;11.546133;Marathon;GENERALI München Marathon;https://www.generalimuenchenmarathon.de;Chat-GPT Daten;
Düsseldorf Marathon;Running;26.04.2026;Düsseldorf;Deutschland;Joseph-Beuys-Ufer, 40479 Düsseldorf;51.233334;6.772222;Marathon;Düsseldorf Marathon;https://www.duesseldorfmarathon.de;Chat-GPT Daten;
Hannover Marathon;Running;19.04.2026;Hannover;Deutschland;Friedrichswall 1, 30159 Hannover;52.367593;9.733222;Marathon;ADAC Marathon Hannover;https://www.marathon-hannover.de;Chat-GPT Daten;
Leipzig Marathon;Running;19.04.2026;Leipzig;Deutschland;Am Sportforum 2, 04105 Leipzig;51.345556;12.348056;Marathon;Leipzig Marathon;https://www.leipzigmarathon.de;Chat-GPT Daten;
Bonn Marathon;Running;19.04.2026;Bonn;Deutschland;Rathenauufer, 53113 Bonn;50.73743;7.098207;Marathon;Deutsche Post Marathon Bonn;https://www.deutschepostmarathonbonn.de/;Chat-GPT Daten;
Freiburg Marathon;Running;12.04.2026;Freiburg;Deutschland;Messe Freiburg, 79108 Freiburg;47.997791;7.842609;Marathon;MEIN FREIBURG MARATHON;https://www.mein-freiburgmarathon.de;Chat-GPT Daten;
Dresden Marathon;Running;25.10.2026;Dresden;Deutschland;Ostra-Ufer 2, 01067 Dresden;51.054732;13.726249;Marathon;Dresden Marathon;https://www.dresden-marathon.com;Chat-GPT Daten;
Bremen Marathon;Running;04.10.2026;Bremen;Deutschland;Bürgerweide, 28209 Bremen;53.081944;8.813889;Marathon;swb Marathon Bremen;https://www.swb-marathon.de;Chat-GPT Daten;
Regensburg Marathon;Running;17.05.2026;Regensburg;Deutschland;D.-Martin-Luther-Straße 2, 93047 Regensburg;49.013432;12.101624;Marathon;Regensburg Marathon;https://www.regensburg-marathon.de;Chat-GPT Daten;
Ulm Marathon;Running;27.09.2026;Ulm;Deutschland;Münsterplatz, 89073 Ulm;48.39841;9.99155;Marathon;Einstein Marathon Ulm;https://www.einsteinmarathon.de;Chat-GPT Daten;
Kiel Marathon;Running;01.03.2026;Kiel;Deutschland;Kiellinie 70, 24105 Kiel;54.338253;10.145374;Marathon;Kiel Marathon;https://www.kiel-marathon.de;Chat-GPT Daten;
Ruhr Marathon;Running;10.05.2026;Gelsenkirchen;Deutschland;Parkallee 1, 45891 Gelsenkirchen;51.554722;7.067222;Marathon;Vivawest-Marathon Ruhr;https://www.vivawest-marathon.de;Chat-GPT Daten;
Potsdam Lauf;Running;07.06.2026;Potsdam;Deutschland;Luisenplatz, 14471 Potsdam;52.398861;13.048861;Half Marathon;Potsdamer Schlösserlauf Halbmarathon;https://www.schlösserlauf.de;Chat-GPT Daten;
Halbmarathon Berlin;Running;29.03.2026;Berlin;Deutschland;Karl-Marx-Allee, 10178 Berlin;52.521918;13.413215;Half Marathon;Generali Berliner Halbmarathon;https://www.generali-berliner-halbmarathon.de;Chat-GPT Daten;
Hamburg Halbmarathon;Running;28.06.2026;Hamburg;Deutschland;Reeperbahn, 20359 Hamburg;53.550278;9.966111;Half Marathon;Hella Halbmarathon Hamburg;https://www.hella-hamburg-halbmarathon.de;Chat-GPT Daten;
Köln Halbmarathon;Running;04.10.2026;Köln;Deutschland;Ottoplatz, 50679 Köln;50.942278;6.958281;Half Marathon;Generali Köln Halbmarathon;https://www.koeln-marathon.de;Chat-GPT Daten;
Stuttgart Lauf;Running;21.06.2026;Stuttgart;Deutschland;Mercedesstraße 87, 70372 Stuttgart;48.792222;9.232778;Half Marathon;Stuttgart-Lauf Halbmarathon;https://www.stuttgart-lauf.de;Chat-GPT Daten;
GutsMuths Rennsteiglauf;Ultramarathon;22.05.2027;Schmiedefeld;Deutschland;Schmiedefeld, Deutschland;50.5333;11.2167;17 km / 21 km / 42 km / 74 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/gutsmuths-rennsteiglauf/;https://www.rennsteiglauf.de/;marathon.de;https://www.marathon.de/logos/gutsmuths-rennsteiglauf.jpg
Zugspitz Ultratrail;Ultramarathon;20.06.2026;Garmisch-Partenkirchen;Deutschland;Richard-Strauss-Platz 1, 82467 Garmisch-Partenkirchen;47.4925;11.095556;107, 86 km, 69 km, 44 km, 29 km;Salomon Zugspitz Ultratrail;https://www.zugspitz-ultratrail.com;Chat-GPT Daten;
Alb Marathon;Ultramarathon;25.10.2026;Schwäbisch Gmünd;Deutschland;Marktplatz, 73525 Schwäbisch Gmünd;48.800833;9.798611;50 km, 25 km;Alb Marathon Schwäbisch Gmünd;https://www.albmarathon.de;Chat-GPT Daten;
Thüringen Ultra;Ultramarathon;04.07.2026;Fröttstädt;Deutschland;Bahnhofstraße 1, 99880 Hörsel;50.945;10.565278;100 km;Thüringen Ultra;http://www.thueringenultra.de/startseite/index.php;Chat-GPT Daten;
Challenge Roth;Triathlon;05.07.2026;Roth;Deutschland;Otto-Schrimpff-Straße 12, 91154 Roth;49.2475;11.091111;Full;DATEV Challenge Roth;https://www.challenge-roth.com;Chat-GPT Daten;
Ironman Frankfurt;Triathlon;28.06.2026;Frankfurt am Main;Deutschland;Mainkai, 60311 Frankfurt;50.110278;8.682222;Full;Ironman European Championship Frankfurt;https://www.ironman.com/im-frankfurt;Chat-GPT Daten;
Ironman 70.3 Duisburg;Triathlon;30.08.2026;Duisburg;Deutschland;Kruppstraße 30, 47055 Duisburg;51.426389;6.776389;Middle;Ironman 70.3 Duisburg;https://www.ironman.com/im703-duisburg;Chat-GPT Daten;
Allgäu Triathlon;Triathlon;16.08.2026;Immenstadt;Deutschland;Seepromenade, 87509 Immenstadt;47.560833;10.220833;Middle;Allgäu Triathlon Mitteldistanz;https://www.allgaeu-triathlon.de;Chat-GPT Daten;
Ostseeman;Triathlon;02.08.2026;Glücksburg;Deutschland;Sandwigstraße 1, 24960 Glücksburg;54.834444;9.548056;Middle , Full;Ostseeman Triathlon;https://www.ostseeman.de;Chat-GPT Daten;
Berlin Triathlon;Triathlon;06.06.2026;Berlin;Deutschland;Straße am Borsigturm, 13507 Berlin;52.576944;13.287222;Sprint, Olympic, Middle;Berlin Triathlon;https://www.berlin-triathlon.de;Chat-GPT Daten;
Spreewald Marathon;Running;15.04.2027;Burg (Spreewald);Deutschland;Hauptstraße 1, 03096 Burg;51.834444;14.148333;10km, Half Marathon, Marathon;Spreewald Marathon;https://www.spreewaldmarathon.de;Chat-GPT Daten;
