event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;registration_open;sold_out;cancelled;date_expected;unclear;status_label;status_note;last_checked;needs_review;duplicate_candidate;import_action
BMW Berlin Marathon;Running;27.09.2026;Berlin;Germany;Straße des 17. Juni, between Brandenburg Gate and Kleiner Stern, Berlin;52.516275;13.377704;Marathon / 42.195 km;Abbott World Marathon Majors event in Berlin. Official page confirms 27 September 2026 and lottery process.;https://www.bmw-berlin-marathon.com/;Official website recovery review;https://www.bmw-berlin-marathon.com/en/registration/registration-information;registration_not_open;false;false;false;false;false;Registration not open yet;Official website confirms 2026 date. Lottery registration period for the marathon was already closed.;03.06.2026;false;yes;update_existing
TCS London Marathon;Running;;London;United Kingdom;The Mall, London;51.504600;-0.134400;Marathon / 42.195 km;Major London marathon. Keep in review until the next official race date and entry status are checked directly on the event site.;https://www.tcslondonmarathon.com/;Official website recovery review;https://www.tcslondonmarathon.com/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Schneider Electric Marathon de Paris;Running;;Paris;France;Avenue des Champs-Élysées, Paris;48.873800;2.295000;Marathon / 42.195 km;Major Paris marathon. Review row only until next official date and entry status are confirmed.;https://www.schneiderelectricparismarathon.com/en;Official website recovery review;https://www.schneiderelectricparismarathon.com/en;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Zurich Marató Barcelona;Running;;Barcelona;Spain;Passeig de Gràcia, Barcelona;41.391700;2.164900;Marathon / 42.195 km;Major Barcelona marathon. Review row only until next official date and entry status are confirmed.;https://www.zurichmaratobarcelona.es/en/;Official website recovery review;https://www.zurichmaratobarcelona.es/en/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Valencia Marathon Trinidad Alfonso Zurich;Running;06.12.2026;Valencia;Spain;Ciutat de les Arts i les Ciències, Valencia;39.456100;-0.354600;Marathon / 42.195 km;Official Valencia marathon. Official regulations confirm the 46th edition on Sunday 6 December 2026.;https://www.valenciaciudaddelrunning.com/en/marathon/;Official website recovery review;https://www.valenciaciudaddelrunning.com/en/marathon/info-registration-2026/;sold_out;false;true;false;false;false;Sold out;Official registration page shows SOLD OUT / ballot process for the 2026 marathon.;03.06.2026;false;no;add_after_review
TCS Amsterdam Marathon;Running;18.10.2026;Amsterdam;Netherlands;Olympic Stadium, Amsterdam;52.343300;4.854200;Marathon / 42.195 km;Platinum Label Amsterdam marathon with start and finish at the Olympic Stadium.;https://www.tcsamsterdammarathon.eu/;Official website recovery review;https://www.tcsamsterdammarathon.eu/frequently-asked-questions;registration_open;true;false;false;false;false;Registration open;Official FAQ says registration for the 2026 edition opens on 20 December 2025 and closes 5 October 2026 unless sold out.;03.06.2026;false;no;add_after_review
NN Marathon Rotterdam;Running;;Rotterdam;Netherlands;Coolsingel, Rotterdam;51.922500;4.479200;Marathon / 42.195 km;Major Rotterdam marathon. Review row only until next official date and entry status are confirmed.;https://www.nnmarathonrotterdam.org/;Official website recovery review;https://www.nnmarathonrotterdam.org/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Vienna City Marathon;Running;18.04.2027;Vienna;Austria;Reichsbrücke / Wagramer Straße, Vienna;48.228300;16.409000;Half Marathon / Marathon / 42.195 km;Major Vienna marathon already present in the main CSV. Review row exists to preserve official URL/status checking.;https://www.vienna-marathon.com/;Official website recovery review;https://www.vienna-marathon.com/;registration_open;true;false;false;false;false;Registration open;Existing event row already uses official organizer URL and 2027 date. Keep as duplicate candidate for update-only handling.;03.06.2026;false;yes;update_existing
Acea Run Rome The Marathon;Running;;Rome;Italy;Via dei Fori Imperiali, Rome;41.892500;12.486300;Marathon / 42.195 km;Major Rome marathon. Review row only until next official date and entry status are confirmed.;https://www.runromethemarathon.com/en/;Official website recovery review;https://www.runromethemarathon.com/en/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Firenze Marathon;Running;29.11.2026;Florence;Italy;Piazza del Duomo, Florence;43.773100;11.256000;Marathon / 42.195 km;Florence city marathon. Needs manual official registration status check before publication.;https://www.firenzemarathon.it/;Official website recovery review;https://www.firenzemarathon.it/;unclear;false;false;false;false;true;Status unclear;Date and status need official manual confirmation before import.;03.06.2026;true;no;review_before_import
Wizz Air Milano Marathon;Running;;Milan;Italy;Piazza del Duomo, Milan;45.464200;9.190000;Marathon / 42.195 km;Milan marathon. Review row only until next official date and entry status are confirmed.;https://www.milanomarathon.it/;Official website recovery review;https://www.milanomarathon.it/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Zurich Marathon;Running;;Zurich;Switzerland;Mythenquai, Zurich;47.356900;8.536900;Marathon / 42.195 km;Zurich city marathon. Review row only until next official date and entry status are confirmed.;https://www.zuerichmarathon.ch/;Official website recovery review;https://www.zuerichmarathon.ch/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Copenhagen Marathon;Running;;Copenhagen;Denmark;Islands Brygge, Copenhagen;55.668000;12.578000;Marathon / 42.195 km;Copenhagen marathon. Review row only until next official date and entry status are confirmed.;https://copenhagenmarathon.dk/en/;Official website recovery review;https://copenhagenmarathon.dk/en/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
adidas Stockholm Marathon;Running;;Stockholm;Sweden;Stockholm Olympic Stadium, Stockholm;59.345600;18.079700;Marathon / 42.195 km;Stockholm marathon. Review row only until next official date and entry status are confirmed.;https://www.stockholmmarathon.se/;Official website recovery review;https://www.stockholmmarathon.se/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Helsinki City Marathon;Running;;Helsinki;Finland;Helsinki Olympic Stadium, Helsinki;60.187000;24.927000;Marathon / 42.195 km;Helsinki City Running Day marathon. Review row only until next official date and entry status are confirmed.;https://helsinkicityrunningday.fi/;Official website recovery review;https://helsinkicityrunningday.fi/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
DNB Oslo Marathon;Running;12.09.2026;Oslo;Norway;City Hall Square Oslo, 0160 Oslo;59.911100;10.733300;10 km / Half Marathon / Marathon / Oslo Triple;Oslo city marathon with start and finish at Rådhusplassen.;https://oslomaraton.no/en/;Official website recovery review;https://oslomaraton.no/en/distanser/;sold_out;false;true;false;false;false;Sold out;Official distances page says DNB Oslo Marathon is on 12 September 2026 and the marathon distance is sold out.;03.06.2026;false;no;add_after_review
Irish Life Dublin Marathon;Running;25.10.2026;Dublin;Ireland;Leeson Street Lower, Dublin;53.339800;-6.250100;Marathon / 42.195 km;Dublin city marathon with start on Leeson Street Lower.;https://irishlifedublinmarathon.ie/;Official website recovery review;https://irishlifedublinmarathon.ie/frequently-asked-questions/;unclear;false;false;false;false;true;Status unclear;Official FAQ confirms 25 October 2026 and start line, but registration status still needs direct manual check before import.;03.06.2026;true;no;review_before_import
Edinburgh Marathon Festival;Running;;Edinburgh;United Kingdom;Holyrood Park, Edinburgh;55.949600;-3.161800;Marathon / 42.195 km;Edinburgh marathon festival. Review row only until next official date and entry status are confirmed.;https://www.edinburghmarathon.com/;Official website recovery review;https://www.edinburghmarathon.com/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
adidas Manchester Marathon;Running;;Manchester;United Kingdom;Old Trafford, Manchester;53.463100;-2.291300;Marathon / 42.195 km;Manchester marathon. Review row only until next official date and entry status are confirmed.;https://www.manchestermarathon.co.uk/;Official website recovery review;https://www.manchestermarathon.co.uk/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Haspa Marathon Hamburg;Running;25.04.2027;Hamburg;Germany;Karolinenstraße / Hamburg Messe, Hamburg;53.558900;9.975200;Marathon / 42.195 km;Hamburg marathon already present in the main CSV. Official page confirms 41st edition on 25 April 2027.;https://haspa-marathon-hamburg.de/;Official website recovery review;https://haspa-marathon-hamburg.de/en/race-info-marathon/;registration_open;true;false;false;false;false;Registration open;Official race info confirms 2027 date and marathon registration information. Update existing row only.;03.06.2026;false;yes;update_existing
Mainova Frankfurt Marathon;Running;25.10.2026;Frankfurt am Main;Germany;Festhalle Messe Frankfurt, Frankfurt am Main;50.111700;8.652800;Marathon / 42.195 km;Frankfurt marathon already present in the main CSV. Needs update-only handling to avoid duplicate rows.;https://www.frankfurt-marathon.com/;Official website recovery review;https://www.frankfurt-marathon.com/;registration_open;true;false;false;false;false;Registration open;Existing event row already uses official organizer URL and 2026 date. Keep as duplicate candidate for update-only handling.;03.06.2026;false;yes;update_existing
Generali Munich Marathon;Running;11.10.2026;Munich;Germany;Olympiapark, Munich;48.173000;11.546000;Marathon / 42.195 km;Munich marathon. Needs duplicate check against main CSV and official status check before publication.;https://www.generalimuenchenmarathon.de/;Official website recovery review;https://www.generalimuenchenmarathon.de/;unclear;false;false;false;false;true;Status unclear;Date and official registration status need manual confirmation before import.;03.06.2026;true;no;review_before_import
Generali Köln Marathon;Running;04.10.2026;Cologne;Germany;L111, 50679 Köln;50.935889;6.979201;Half Marathon / Marathon / 42.195 km;Cologne marathon already present in the main CSV. Review row exists to avoid duplicate import and preserve official URL.;https://generali-koeln-marathon.de/;Official website recovery review;https://generali-koeln-marathon.de/anmeldung/;registration_open;true;false;false;false;false;Registration open;Existing event row already uses official registration URL and 2026 date. Update existing row only.;03.06.2026;false;yes;update_existing
ADAC Marathon Hannover;Running;11.04.2027;Hannover;Germany;Trammplatz / Neues Rathaus, Hannover;52.374500;9.738600;10 km / Half Marathon / Marathon / 42.195 km;Hannover marathon already appears in the main CSV under a shorter name. Treat as duplicate candidate and update existing row only.;https://www.marathon-hannover.de/;Official website recovery review;https://www.marathon-hannover.de/landingpage.html;registration_open;true;false;false;false;false;Registration open;Existing row likely duplicates this event under Hannover Marathon. Do not append a second row.;03.06.2026;false;yes;update_existing
Düsseldorf Marathon;Running;;Düsseldorf;Germany;Düsseldorf city centre;51.227700;6.773500;Marathon / 42.195 km;Potential Düsseldorf marathon row. Keep out of main CSV until an active official organizer page and next confirmed date are found.;https://www.metro-marathon.de/;Official website recovery review;https://www.metro-marathon.de/;unclear;false;false;false;false;true;Status unclear;Official activity and next race date need manual confirmation. Do not publish until verified.;03.06.2026;true;no;review_before_import
Prague International Marathon;Running;;Prague;Czech Republic;Old Town Square, Prague;50.087000;14.421300;Marathon / 42.195 km;Prague international marathon. Review row only until next official date and entry status are confirmed.;https://www.runczech.com/en/events/prague-international-marathon-2026;Official website recovery review;https://www.runczech.com/en/events/prague-international-marathon-2026;date_expected;false;false;false;true;false;Date expected;Official date/status should be checked directly before import because the source URL may be edition-specific.;03.06.2026;true;no;review_before_import
SPAR Budapest Marathon;Running;10.10.2026;Budapest;Hungary;Heroes' Square, Budapest;47.514900;19.077900;Marathon / 42.195 km;Budapest marathon weekend. Needs official registration status check before publication.;https://marathon.runinbudapest.com/;Official website recovery review;https://marathon.runinbudapest.com/;unclear;false;false;false;false;true;Status unclear;Date and official registration status need manual confirmation before import.;03.06.2026;true;no;review_before_import
Warsaw Marathon;Running;27.09.2026;Warsaw;Poland;PGE Narodowy / Warsaw city centre;52.239400;21.045600;Marathon / 42.195 km;Warsaw marathon. Needs official registration status check before publication.;https://maratonwarszawski.com/en/;Official website recovery review;https://maratonwarszawski.com/en/;unclear;false;false;false;false;true;Status unclear;Date and official registration status need manual confirmation before import.;03.06.2026;true;no;review_before_import
Cracovia Marathon;Running;;Kraków;Poland;Main Market Square, Kraków;50.061900;19.936800;Marathon / 42.195 km;Kraków marathon. Review row only until next official date and entry status are confirmed.;https://cracoviamaraton.pl/;Official website recovery review;https://cracoviamaraton.pl/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
EDP Lisbon Marathon;Running;04.10.2026;Lisbon;Portugal;Praça do Comércio, Lisbon;38.707500;-9.136600;Marathon / 42.195 km;Lisbon marathon. Needs official registration status check before publication.;https://www.maratonalisboa.com/;Official website recovery review;https://www.maratonalisboa.com/;unclear;false;false;false;false;true;Status unclear;Date and official registration status need manual confirmation before import.;03.06.2026;true;no;review_before_import
Porto Marathon;Running;;Porto;Portugal;Porto city centre;41.157900;-8.629100;Marathon / 42.195 km;Porto marathon. Review row only until next official date and entry status are confirmed.;https://www.maratonadoporto.com/;Official website recovery review;https://www.maratonadoporto.com/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Zurich Rock 'n' Roll Running Series Madrid;Running;;Madrid;Spain;Paseo de Recoletos, Madrid;40.420300;-3.692200;Marathon / 42.195 km;Madrid marathon. Review row only until next official date and entry status are confirmed.;https://rocknrollmadridrun.com/;Official website recovery review;https://rocknrollmadridrun.com/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Zurich Maratón de Sevilla;Running;;Seville;Spain;Paseo de las Delicias, Seville;37.377200;-5.993100;Marathon / 42.195 km;Seville marathon. Review row only until next official date and entry status are confirmed.;https://zurichmaratonsevilla.es/;Official website recovery review;https://zurichmaratonsevilla.es/;date_expected;false;false;false;true;false;Date expected;Official event site must be checked manually for the next confirmed edition before import.;03.06.2026;true;no;review_before_import
Zurich Maratón Málaga;Running;13.12.2026;Málaga;Spain;Paseo del Parque, Málaga;36.720200;-4.420300;Marathon / 42.195 km;Málaga marathon. Needs official registration status check before publication.;https://www.maratonmalaga.com/;Official website recovery review;https://www.maratonmalaga.com/;unclear;false;false;false;false;true;Status unclear;Date and official registration status need manual confirmation before import.;03.06.2026;true;no;review_before_import
Athens Authentic Marathon;Running;08.11.2026;Athens;Greece;Panathenaic Stadium, Athens;37.968300;23.741500;Marathon / 42.195 km;Historic Athens Authentic Marathon. Needs official registration status check before publication.;https://www.athensauthenticmarathon.gr/;Official website recovery review;https://www.athensauthenticmarathon.gr/;unclear;false;false;false;false;true;Status unclear;Date and official registration status need manual confirmation before import.;03.06.2026;true;no;review_before_import
