event_name;sport;date;date_expected;city;country;address;latitude;longitude;distance;description;event_url;status_label;registration_open;registration_not_open;sold_out;cancelled;unclear;data_source;source_url;status_note;needs_review;import_ready;duplicate_action;last_checked
Estra Firenze Marathon;Running;29.11.2026;;Florence;Italy;Piazza del Duomo, Florence;43.7731;11.2559;Marathon / 42.195 km;Official Florence marathon over 42.195 km.;https://www.firenzemarathon.it/en/marathon/;Registration Open;true;false;false;false;false;Official organizer website;https://www.firenzemarathon.it/en/marathon-regulation/;Official regulation confirms 29 November 2026 and registration open until 20 November 2026 unless closed early.;false;true;new;05.06.2026
Wizz Air Milano Marathon;Running;04.04.2027;;Milan;Italy;Piazza del Duomo, Milan;45.4642;9.1900;Marathon / 42.195 km;Official Milan marathon through the city centre.;https://www.milanomarathon.it/en/;Registration Open;true;false;false;false;false;Official organizer website;https://www.milanomarathon.it/en/;Official website confirms 4 April 2027. Official rules state registration closes on 31 March 2027.;false;true;new;05.06.2026
adidas Stockholm Marathon;Running;29.05.2027;;Stockholm;Sweden;Stockholms Stadion, Lidingovagen, Stockholm;59.3457;18.0792;Marathon / 42.195 km;Official Stockholm marathon with start and finish around Stockholm Stadium.;https://www.stockholmmarathon.se/;Registration Open;true;false;false;false;false;Official organizer website;https://www.stockholmmarathon.se/start/lopare/;Official website confirms 29 May 2027 and says registration for 2027 is open.;false;true;new;05.06.2026
EDP Porto Marathon;Running;08.11.2026;;Porto;Portugal;Queimodromo, Parque da Cidade do Porto;41.1687;-8.6892;Marathon / 42.195 km / 10 km / 6 km;Official Porto marathon with marathon, 10 km and 6 km events.;https://www.porto-marathon.com/en/marathon.html;Registration Open;true;false;false;false;false;Official organizer website;https://www.porto-marathon.com/en/registrations.html;Official registration page confirms 8 November 2026 and registration fees through 30 October 2026.;false;true;new;05.06.2026
EDP Lisbon Marathon;Running;10.10.2026;;Lisbon;Portugal;Cascais start area to Lisbon finish area;38.6979;-9.4215;Marathon / 42.195 km;Official Lisbon marathon route from the coast toward Lisbon.;https://www.running-portugal.com/lisbon/marathon/en/home.html;Registration Open;true;false;false;false;false;Official event website and official regulations PDF;https://maratonaclubedeportugal.com/wp-content/uploads/Rules_EDP_Lisbon_Marathon_OUT2026_EN-1.pdf;Official rules PDF confirms 10 October 2026 and official FAQ states registration is open on the official site.;false;true;new;05.06.2026
Valencia Half Marathon Trinidad Alfonso Zurich;Running;25.10.2026;;Valencia;Spain;Ciutat de les Arts i les Ciències, Valencia;39.4561;-0.3546;Half Marathon / 21.0975 km;Official Valencia half marathon.;https://www.valenciaciudaddelrunning.com/en/half/;Sold Out;false;false;true;false;false;Official organizer website;https://www.valenciaciudaddelrunning.com/en/half/info-registration-2026/;Official registration information shows a ballot process for the 2026 edition and bib allocation via ballot. Treat as sold out unless organizer reopens entries.;false;true;new;05.06.2026
Generali Berlin Half Marathon;Running;04.04.2027;;Berlin;Germany;Brandenburg Gate, Berlin;52.5163;13.3777;Half Marathon / 21.0975 km;Germany's largest half marathon and part of the SuperHalfs series.;https://www.generali-berliner-halbmarathon.de/en/;Registration Open;true;false;false;false;false;Official organizer website;https://www.generali-berliner-halbmarathon.de/en/;Official website confirms 4 April 2027 and links to 2027 registration/lottery account flow.;false;true;new;05.06.2026
Copenhagen Half Marathon;Running;20.09.2026;;Copenhagen;Denmark;Copenhagen city centre;55.6761;12.5683;Half Marathon / 21.0975 km;Official Copenhagen half marathon and major international half marathon event.;https://cphhalf.dk/;Status Unclear;false;false;false;false;true;Official organizer website plus Copenhagen tourism date check;https://cphhalf.dk/cph-half-i-2026-og-2027/;Official/host information confirms 20 September 2026 but current public entry availability was not clearly confirmed. Needs manual status check before final import.;true;false;new;05.06.2026
Goteborgsvarvet;Running;22.05.2027;;Gothenburg;Sweden;Slottsskogen, Gothenburg;57.6850;11.9380;Half Marathon / 21.0975 km;Large Swedish half marathon in Gothenburg.;https://www.goteborgsvarvet.se/;Date Expected;false;true;false;false;false;Official organizer website;https://www.goteborgsvarvet.se/faq/datum-for-goteborgsvarvet-2027;Official FAQ confirms the 2027 date. Registration status still needs direct manual confirmation before import.;true;false;new;05.06.2026
HOKA UTMB Mont-Blanc;Ultramarathon;24.08.2026;;Chamonix-Mont-Blanc;France;Chamonix-Mont-Blanc town centre;45.9237;6.8694;OCC / CCC / TDS / UTMB / multi-distance trail;Flagship UTMB trail running week around Mont Blanc.;https://montblanc.utmb.world/;Sold Out;false;false;true;false;false;Official UTMB website;https://montblanc.utmb.world/en/races-runners/registrationconditions;Official UTMB pages confirm the 24-30 August 2026 event week and registration conditions. Major races are treated as allocated/sold out after lottery process.;false;true;new;05.06.2026
