event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
27. Midsummer-Triathlon;Triathlon;18.06.2026;Großensee;Germany;Großensee, Germany;53.615;10.349;Triathlon;Region: Schleswig-Holstein Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/27-midsummer-triathlon;http://www.midsummer-triathlon.de;DTU Veranstaltungskalender;;;;;;;;
4. Grünheider Schultriathlon;Triathlon;19.06.2026;Grünheide (Mark);Germany;Grünheide (Mark), Germany;52.422;13.751;Triathlon;Region: Brandenburg Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/4-gruenheider-schultriathlon;http://www.multisport-los.de;DTU Veranstaltungskalender;;;;;;;;
12. Ockstädter Cross Triathlon im Kirschenberg;Triathlon;20.06.2026;Friedberg-Ockstadt;Germany;Friedberg-Ockstadt, Germany;50.339;8.806;Triathlon;Region: Hessen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/12-ockstaedter-cross-triathlon-im-kirschenberg;http://www.cross-triathlon-ockstadt.de;DTU Veranstaltungskalender;;;;;;;;
Memmert Rothsee Triathlon;Triathlon;20.06.2026;Hilpoltstein;Germany;Hilpoltstein, Germany;49.209;11.187;Triathlon;Region: Bayern Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/memmert-rothsee-triathlon;http://www.rothsee-triathlon.de;DTU Veranstaltungskalender;;;;;;;;
29. Arendsee Triathlon;Triathlon;20.06.2026;Arendsee (Altmark);Germany;Arendsee (Altmark), Germany;52.881;11.486;Triathlon;Region: Sachsen-Anhalt Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/29-arendsee-triathlon;http://arendsee-triathlon.de/;DTU Veranstaltungskalender;;;;;;;;
Rosenstadt-Triathlon;Triathlon;21.06.2026;Eutin;Germany;Eutin, Germany;54.137;10.619;Triathlon;Region: Schleswig-Holstein Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/rosenstadt-triathlon;http://www.rosenstadt-triathlon.de;DTU Veranstaltungskalender;;;;;;;;
Viking Triathlon Schleswig;Triathlon;21.06.2026;Schleswig;Germany;Schleswig, Germany;54.513;9.558;Triathlon;Region: Schleswig-Holstein Source listing: https://www.triathlondeutschland.de/termine/dtu-deutsche-meisterschaften/viking-triathlon-schleswig;http://www.viking-triathlon.de;DTU Veranstaltungskalender;;;;;;;;
41. Hückeswagener Triathlon;Triathlon;21.06.2026;Hückeswagen;Germany;Hückeswagen, Germany;51.141;7.355;Triathlon;Region: Nordrhein-Westfalen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/41-hueckeswagener-triathlon;http://www.atv-triathlon.de;DTU Veranstaltungskalender;;;;;;;;
33. Steinbecker Triathlon;Triathlon;21.06.2026;Recke;Germany;Recke, Germany;52.339;7.736;Triathlon;Region: Nordrhein-Westfalen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/33-steinbecker-triathlon;http://www.steinbeck-triathlon.de;DTU Veranstaltungskalender;;;;;;;;
41. Lipperlandtriathlon;Triathlon;21.06.2026;Lage;Germany;Lage, Germany;51.963;8.756;Triathlon;Region: Nordrhein-Westfalen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/41-lipperlandtriathlon;http://lipperlandtriathlon.tglage.de;DTU Veranstaltungskalender;;;;;;;;
32. Heinz Beierstorf Triathlon Stutensee;Triathlon;21.06.2026;Stutensee;Germany;Stutensee, Germany;49.068;8.476;Triathlon;Region: Baden-Württemberg Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/32-heinz-beierstorf-triathlon-stutensee;http://www.tsg-blankenloch.de;DTU Veranstaltungskalender;;;;;;;;
29. Vierlanden-Triathlon;Triathlon;21.06.2026;Hamburg;Germany;Hamburg, Germany;53.473;10.173;Triathlon;Region: Hamburg Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/29-vierlanden-triathlon;http://www.vierlanden-triathlon.de;DTU Veranstaltungskalender;;;;;;;;
12.Mittelmosel Triathlon powered by vit:bikes Zell;Triathlon;21.06.2026;Bullay;Germany;Bullay, Germany;50.054;7.13;Triathlon;Region: Rheinland-Pfalz Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/12mittelmosel-triathlon-powered-vitbikes-zell;http://www.mittelmosel-triathlon.de;DTU Veranstaltungskalender;;;;;;;;
34. Mühlchen-Triathlon Darmstadt-Arheilgen;Triathlon;21.06.2026;Darmstadt;Germany;Darmstadt, Germany;49.901;8.668;Triathlon;Region: Hessen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/34-muehlchen-triathlon-darmstadt-arheilgen;http://muehlchen-triathlon.de/;DTU Veranstaltungskalender;;;;;;;;
Sparda Münster City Triathlon 2026;Triathlon;21.06.2026;Münster;Germany;Münster, Germany;51.951;7.638;Triathlon;Region: Nordrhein-Westfalen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/sparda-muenster-city-triathlon-2026;http://www.sparda-muenster-city-triathlon.de/;DTU Veranstaltungskalender;;;;;;;;
Nordhäuser Triathlon;Triathlon;21.06.2026;Nordhausen;Germany;Nordhausen, Germany;51.472;10.811;Triathlon;Region: Thüringen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/06-2026/nordhaeuser-triathlon;http://www.triathlon-nordhausen.de;DTU Veranstaltungskalender;;;;;;;;
