event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Strohbeckentriathlon;Triathlon;30.05.2026;Lohne;Germany;Lohne, Germany;52.695;8.215;Triathlon;Region: Niedersachsen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/strohbeckentriathlon;http://erfundaus.de;DTU Veranstaltungskalender;
32. Waltriathlon;Triathlon;30.05.2026;Brunsbüttel;Germany;Brunsbüttel, Germany;53.889;9.127;Triathlon;Region: Schleswig-Holstein Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/32-waltriathlon;http://www.waltriathlon.de;DTU Veranstaltungskalender;
Löwentriathlon Westerwald;Triathlon;30.05.2026;Freilingen;Germany;Freilingen, Germany;50.561;7.832;Triathlon;Region: Rheinland-Pfalz Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/loewentriathlon-westerwald;http://www.loewentriathlon.de;DTU Veranstaltungskalender;
IRONMAN 70.3 Kraichgau;Triathlon;30.05.2026;Bad Schönborn;Germany;Bad Schönborn, Germany;49.214;8.658;Middle, Full;Region: Baden-Württemberg Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/ironman-703-kraichgau;http://www.ironman.com/im703-kraichgau;DTU Veranstaltungskalender;
23. Oelder Triathlon;Triathlon;30.05.2026;Oelde;Germany;Oelde, Germany;51.823;8.145;Triathlon;Region: Nordrhein-Westfalen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/23-oelder-triathlon;http://www.volkstriathlon.de;DTU Veranstaltungskalender;
Spreewald Triathlon 2026;Triathlon;30.05.2026;Briesensee;Germany;Briesensee, Germany;51.917;14.016;Triathlon;Region: Brandenburg Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/spreewald-triathlon-2026;http://www.spreewald-triathlon.de;DTU Veranstaltungskalender;
Triathlon Brettmühlenteich;Triathlon;30.05.2026;Zschorna;Germany;Zschorna, Germany;51.254;13.74;Triathlon;Region: Sachsen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/triathlon-brettmuehlenteich;http://www.sv-motor-grossenhain.de;DTU Veranstaltungskalender;
30. Powertriathlon Gera;Triathlon;30.05.2026;Gera;Germany;Gera, Germany;50.881;12.071;Triathlon;Region: Thüringen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/30-powertriathlon-gera;http://www.powertriathlon.de;DTU Veranstaltungskalender;
40. Büchener Triathlon;Triathlon;31.05.2026;Büchen;Germany;Büchen, Germany;53.478;10.662;Triathlon;Region: Schleswig-Holstein Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/40-buechener-triathlon;http://www.esv-buechen.de;DTU Veranstaltungskalender;
34.Hagener IINJOY Triathlon;Triathlon;31.05.2026;Hagen;Germany;Hagen, Germany;51.402;7.456;Triathlon;Region: Nordrhein-Westfalen Source listing: https://www.triathlondeutschland.de/aktive/wettkaempfe/veranstaltungskalender/05-2026/34hagener-iinjoy-triathlon;http://www.triteam-hagen.de;DTU Veranstaltungskalender;
