event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Bielefelder Triathlon;Triathlon;28.06.2026;Bielefeld;Germany;Senner Waldbad, Am Waldbad 72, 33659 Bielefeld;51.9622218;8.526118;Sprint / Relay / Youth;Participants: 450 | Course: flat run course | Format: 500 m swim / 20 km bike / 5 km run plus relay and youth races.;https://www.triathlon-bielefeld.de/anmeldung;Official organizer website;https://www.triathlon-bielefeld.de/ausschreibung;registration_open;medium;monthly;02.06.2026;02.07.2026;Manual review: official TSVE Bielefeld triathlon page confirms June 28 2026, Senner Waldbad address, sprint distance, participant limit and registration page. Coordinates use Senner Waldbad OpenStreetMap location. Precise address geocoded with Geoapify (Senner Waldbad, Am Waldbad 72, 33659 Bielefeld, Germany).;
Sörmlands 100 Trail Run;Ultramarathon;11.09.2026;Björnlunda;Sweden;Öster-Malma, 611 91 Björnlunda, Sweden;58.950627;17.158171;8 km / 22 km / 50 km / 100 km / 100 Miles;Sörmlands 100 Trail Run is a Swedish trail weekend with multiple distances: 8 km, 22 km, 50 km, 100 km and 100 miles.;https://www.sormlands100.com/;Official website;https://www.sormlands100.com/;registration_open;medium;monthly;02.06.2026;02.07.2026;Restored after manual review. Official website shows September 11th-13th 2026, multiple race distances including 100 km and 100 miles, and registration link. Previous CSV date 12.11.2026 was not found on the page. Precise address geocoded with Geoapify (Öster-Malma, 611 91 Björnlunda, Sweden, Sweden). Location QA: coordinates repaired using address geocoding (Öster-Malma, 611 91 Björnlunda, Sweden, Björnlunda, Sweden).;
IRONMAN Hamburg European Championship;Triathlon;07.06.2026;Hamburg;Germany;Jungfernstieg 53, 20354 Hamburg;53.554191;9.9911391;Full;IRONMAN Hamburg European Championship is a full-distance triathlon in Hamburg with lake swim, flat bike course and flat run course.;https://www.ironman.com/races/im-hamburg;Official IRONMAN website;https://www.ironman.com/races/im-hamburg;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after manual review. Official IRONMAN page shows June 7 2026 and Registration Sold Out. Precise address geocoded with Geoapify (Jungfernstieg 53, 20354 Hamburg, Germany).;
IRONMAN Frankfurt;Triathlon;28.06.2026;Frankfurt;Germany;Mainkai, 60311 Frankfurt;50.1093261;8.6837057;Full;IRONMAN Frankfurt is a full-distance triathlon in Frankfurt with lake swim, rolling bike course and flat run course.;https://www.ironman.com/races/im-frankfurt;Official IRONMAN website;https://www.ironman.com/races/im-frankfurt;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after manual review. Official IRONMAN page shows June 28 2026 and Registration Sold Out. Precise address geocoded with Geoapify (Mainkai, 60311 Frankfurt, Germany).;
IRONMAN 70.3 Duisburg;Triathlon;16.08.2026;Duisburg;Germany;Kruppstraße 30, 47055 Duisburg;51.3947457;6.7114351;Middle;IRONMAN 70.3 Duisburg is a middle-distance triathlon in Duisburg with lake swim, flat bike course and rolling run course.;https://www.ironman.com/races/im703-duisburg;Official IRONMAN website;https://www.ironman.com/races/im703-duisburg;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after manual review. Official IRONMAN page shows August 16 2026 and General Registration Sold Out. Precise address geocoded with Geoapify (Kruppstraße 30, 47055 Duisburg, Germany).;
IRONMAN 70.3 Leipzig;Triathlon;23.08.2026;Leipzig;Germany;Leipzig, Germany;51.3406321;12.3747329;Middle;IRONMAN 70.3 Leipzig is a middle-distance triathlon in Leipzig with lake swim, flat bike course and flat run course.;https://www.ironman.com/races/im703-leipzig;Official IRONMAN website;https://www.ironman.com/races/im703-leipzig;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after manual review. Official IRONMAN page shows August 23 2026 and General Registration Sold Out.;
IRONMAN 70.3 Erkner;Triathlon;13.09.2026;Erkner;Germany;Erkner, Germany;52.4259804;13.7542811;Middle;IRONMAN 70.3 Erkner is a middle-distance triathlon in Erkner with lake swim, flat bike course and flat run course.;https://www.ironman.com/races/im703-erkner;Official IRONMAN website;https://www.ironman.com/races/im703-erkner;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after manual review. Official IRONMAN page shows September 13 2026 and General Registration Sold Out.;
IRONMAN Kaernten-Klagenfurt Austria;Triathlon;14.06.2026;Klagenfurt;Austria;Klagenfurt, Austria;46.623943;14.3075976;Full;Swim: Lake | Bike: Flat | Run: Rolling;https://www.ironman.com/races/im-austria;Official IRONMAN website;https://www.ironman.com/races/im-austria;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after live official IRONMAN check. Official page shows June 14 2026 and Registration Sold Out.;
IRONMAN 70.3 European Championship Elsinore;Triathlon;21.06.2026;Elsinore;Denmark;Elsinore, Denmark;56.0348739;12.6130073;Middle;Swim: Bay | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-elsinore;Official IRONMAN website;https://www.ironman.com/races/im703-elsinore;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after live official IRONMAN check. Official page shows June 21 2026 and Registration Sold Out.;
IRONMAN 70.3 Westfriesland;Triathlon;21.06.2026;Hoorn;Netherlands;Hoorn, Netherlands;52.653272;5.0735802;Middle;Swim: Lake | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-westfriesland;Official IRONMAN website;https://www.ironman.com/races/im703-westfriesland;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after live official IRONMAN check. Official page shows June 21 2026 and Registration Sold Out.;
IRONMAN Switzerland Thun;Triathlon;05.07.2026;Thun;Switzerland;Thun, Switzerland;46.7582827;7.628086;Full;Swim: Lake | Bike: Hilly | Run: Flat;https://www.ironman.com/races/im-switzerland;Official IRONMAN website;https://www.ironman.com/races/im-switzerland;registration_open;high;weekly;02.06.2026;09.06.2026;Restored after live official IRONMAN check. Official page shows July 5 2026 and Registration Now Open.;
IRONMAN 70.3 Jonkoping;Triathlon;05.07.2026;Jonkoping;Sweden;Jonkoping, Sweden;57.7825634;14.165719;Middle;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-jonkoping;Official IRONMAN website;https://www.ironman.com/races/im703-jonkoping;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after live official IRONMAN check. Official page shows July 5 2026 and Registration Sold Out.;
IRONMAN 70.3 Luxembourg;Triathlon;12.07.2026;Moselle;Luxembourg;Moselle, Luxembourg;50.0997553;5.9153518;Middle;Swim: River | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-luxembourg;Official IRONMAN website;https://www.ironman.com/races/im703-luxembourg;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after live official IRONMAN check. Official page shows July 12 2026 and General Registration Sold Out.;
IRONMAN Vitoria-Gasteiz;Triathlon;12.07.2026;Vitoria-Gasteiz;Spain;Vitoria-Gasteiz, Spain;42.8465088;-2.6724025;Full;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im-vitoria;Official IRONMAN website;https://www.ironman.com/races/im-vitoria;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after live official IRONMAN check. Official page shows July 12 2026 and Registration Sold Out.;
IRONMAN 70.3 Vitoria-Gasteiz;Triathlon;12.07.2026;Vitoria-Gasteiz;Spain;Vitoria-Gasteiz, Spain;42.8465088;-2.6724025;Middle;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-vitoria;Official IRONMAN website;https://www.ironman.com/races/im703-vitoria;sold_out;high;weekly;02.06.2026;09.06.2026;Restored after live official IRONMAN check. Official page shows July 12 2026 and Registration Sold Out.;
Generali Köln Marathon;Running;04.10.2026;Köln;Germany;L111, 50679 Köln;50.936742995562746;6.978251138557531;Half Marathon / Marathon / 42.195 km;Generali Köln Marathon official marathon and half marathon event.;https://generali-koeln-marathon.de/;Official website recovery review;https://generali-koeln-marathon.de/anmeldung/;registration_open;high;weekly;03.06.2026;10.06.2026;Updated from Europe major marathons recovery review. Official registration URL and 2026 date retained. Duplicate-safe update, no intermediary event URL. Precise address geocoded with Geoapify (L111, 50679 Köln, Germany).;
Köln Triathlon;Triathlon;06.09.2026;Köln;Germany;Rheinparkweg 1, 50679 Köln;50.9458861;6.9704153;Sprint, Olympic, Middle;Köln Triathlon;https://www.koeln-triathlon.com/;Google Suche;https://www.koeln-triathlon.com/;registration_open;high;weekly;02.06.2026;09.06.2026;Official event website reviewed during data import. Live URL verification: official registration signal found and date/year signal found. Precise address geocoded with Geoapify (Rheinparkweg 1, 50679 Köln, Germany). Live URL verification: official registration signal and exact date signal found. Precise address geocoded with Geoapify (Rheinparkweg 1, 50679 Köln, Germany).;
Haspa Marathon Hamburg;Running;25.04.2027;Hamburg;Germany;Karolinenstraße / Hamburg Messe, Hamburg;53.557504;9.975498;Marathon / 42.195 km;Hamburg marathon. Official race info confirms the 41st edition on 25 April 2027.;https://haspa-marathon-hamburg.de/;Official website recovery review;https://haspa-marathon-hamburg.de/en/race-info-marathon/;registration_open;high;weekly;03.06.2026;10.06.2026;Updated from Europe major marathons recovery review. Official race info confirms 2027 date and start/finish at Karolinenstraße / Hamburg Messe. Precise address geocoded with Geoapify (Karolinenstraße / Hamburg Messe, Hamburg, Germany).;
BMW Berlin Marathon;Running;27.09.2026;Berlin;Germany;Straße des 17. Juni, between Brandenburg Gate and Kleiner Stern, Berlin;52.524932;13.407032;Marathon / 42.195 km;Abbott World Marathon Majors event in Berlin. Official page confirms 27 September 2026 and lottery process.;https://www.bmw-berlin-marathon.com/;Official website recovery review;https://www.bmw-berlin-marathon.com/en/registration/registration-information;registration_not_open;high;weekly;03.06.2026;10.06.2026;Updated from Europe major marathons recovery review. Official website confirms 2026 date. Lottery registration period for the marathon was already closed. Precise address geocoded with Geoapify (Straße des 17. Juni, between Brandenburg Gate and Kleiner Stern, Berlin, Germany).;
Mainova Frankfurt Marathon;Running;25.10.2026;Frankfurt am Main;Germany;Festhalle Messe Frankfurt, Frankfurt am Main;50.113036;8.651832;Marathon / 42.195 km;Mainova Frankfurt Marathon official marathon event.;https://www.frankfurt-marathon.com/;Official website recovery review;https://www.frankfurt-marathon.com/;registration_open;high;weekly;03.06.2026;10.06.2026;Updated from Europe major marathons recovery review. Existing official organizer URL retained and coordinates improved to Festhalle / Messe Frankfurt area. Precise address geocoded with Geoapify (Festhalle Messe Frankfurt, Frankfurt am Main, Germany).;
Thüringen Ultra;Ultramarathon;04.07.2026;Fröttstädt;Germany;Bahnhofstraße 1, 99880 Hörsel;50.90132;10.560932;100 km;Thüringen Ultra;http://www.thueringenultra.de/startseite/index.php;Chat-GPT Daten;http://www.thueringenultra.de/startseite/index.php;registration_open;medium;monthly;02.06.2026;02.07.2026;Event source prepared for future verification. Live URL verification: official registration signal found and date/year signal found. Precise address geocoded with Geoapify (Bahnhofstraße 1, 99880 Hörsel, Germany). Live URL verification: official registration signal and exact date signal found. Precise address geocoded with Geoapify (Bahnhofstraße 1, 99880 Hörsel, Germany).;
Münster Marathon;Running;13.09.2026;Münster;Germany;Schlosspl. 2, 48149 Münster;51.9638852;7.613212;Marathon;Volksbank Münster Marathon;https://www.volksbank-muenster-marathon.de/_rubric/index.php?rubric=Home%20DE;Google Suche;https://www.volksbank-muenster-marathon.de/_rubric/index.php?rubric=Home%20DE;registration_open;medium;monthly;02.06.2026;02.07.2026;Official event website reviewed during data import. Live URL verification: official registration signal found and date/year signal found. Precise address geocoded with Geoapify (Schlosspl. 2, 48149 Münster, Germany). Live URL verification: official registration signal and exact date signal found. Precise address geocoded with Geoapify (Schlosspl. 2, 48149 Münster, Germany).;
GutsMuths Rennsteiglauf;Ultramarathon;22.05.2027;Schmiedefeld;Germany;Schmiedefeld, Germany;50.5333;11.2167;17 km / 21 km / 42 km / 74 km;Imported from marathon.de running calendar. Source listing: https://www.marathon.de/laufevent/gutsmuths-rennsteiglauf/;https://www.rennsteiglauf.de/;marathon.de;https://www.rennsteiglauf.de/;registration_open;medium;monthly;02.06.2026;02.07.2026;Official organizer URL reviewed from marathon.de discovery data. Live URL verification: official registration signal found and date/year signal found. Live URL verification: official registration signal and exact date signal found.;https://www.marathon.de/logos/gutsmuths-rennsteiglauf.jpg
