event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
10. SaarschleifenLand-Lauf;Running;06.09.2026;Merzig;Germany;Merzig, Germany;49.4427023;6.6374902;5 km, 10 km, Half Marathon;Official local running event in Merzig. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.merziger-sport-freizeitverein.de/;Kilometerliebe Discovery;;;;;;;;
10 Teiche Marathon;Running;12.09.2026;Hahnenklee;Germany;Hahnenklee, Germany;51.8602508;10.3384485;5 km, 10 km, Half Marathon, Marathon;Official local running event in Hahnenklee. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.harzer-wanderwochen.de/10-teiche-marathon;Kilometerliebe Discovery;;;;;;;;
12. Cross against Cancer;Running;13.09.2026;Homburg;Germany;Homburg, Germany;49.32146;7.3409031;5 km, 10 km, Half Marathon;Official local running event in Homburg. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.miteinander-gegen-krebs.de/cross-against-cancer;Kilometerliebe Discovery;;;;;;;;
SanktPauli Ultra;Ultramarathon;15.05.2027;Rotenburg/Wümme - Tostedt;Germany;Rotenburg/Wümme - Tostedt, Germany;53.28265;9.7124175;100 km;Official local running event in Rotenburg/Wümme - Tostedt. Distances: 100 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.bremensanktpauli.de/infos;Kilometerliebe Discovery;;;;;;;;
21. Sparkassen-Diekseelauf;Running;09.08.2026;Bad Malente;Germany;Bad Malente, Germany;50.776351;6.083862;5 km, 10 km;Official local running event in Bad Malente. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.diekseelauf.de/;Kilometerliebe Discovery;;;;;;;;
21. Wutzseelauf;Running;11.10.2026;Lindow;Germany;Lindow, Germany;52.012058;12.9222766;10 km, Half Marathon;Official local running event in Lindow. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.esab-ausbildung.de/startseite/wutzseelauf-lindow/;Kilometerliebe Discovery;;;;;;;;
Freudenstadt Grüntal 12h/24h Lauf (Frühling);Ultramarathon;18.04.2026;Freudenstadt-Grüntal;Germany;Freudenstadt-Grüntal, Germany;48.4796222;8.4683264;12h / 24h Ultramarathon;Official local running event in Freudenstadt-Grüntal. Distances: 12h / 24h Ultramarathon. Discovered via Kilometerliebe and linked to the official event website.;https://neckarlauf.com/geh-heim-lauf.html;Kilometerliebe Discovery;;;;;;;;
Freudenstadt Grüntal 12h/24h Lauf (Herbst);Ultramarathon;03.10.2026;Freudenstadt-Grüntal;Germany;Freudenstadt-Grüntal, Germany;48.4796222;8.4683264;12h / 24h Ultramarathon;Official local running event in Freudenstadt-Grüntal. Distances: 12h / 24h Ultramarathon. Discovered via Kilometerliebe and linked to the official event website.;https://neckarlauf.com/geh-heim-lauf.html;Kilometerliebe Discovery;;;;;;;;
24h-Lauf Reichenau;Ultramarathon;13.06.2026;Konstanz;Germany;Konstanz, Germany;47.659216;9.1750718;24h Ultramarathon;Official local running event in Konstanz. Distances: 24h Ultramarathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.24h-lauf-reichenau.de/;Kilometerliebe Discovery;;;;;;;;
25. Marner Kohltagelauf;Running;27.09.2026;Marne;Germany;Marne, Germany;53.9521162;9.0107437;5 km, 10 km;Official local running event in Marne. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://marner-kohltagelauf.com/;Kilometerliebe Discovery;;;;;;;;
