event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Kieler Förde Marathon;Running;20.09.2026;Kiel;Germany;Kiel, Germany;;;Marathon;Official local running event in Kiel. Distances: Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.ltvkiel-ost.de/kieler-förde-marathon;Kilometerliebe Discovery;;;;;;;;
Kieler Förde Marathon;Running;19.09.2027;Kiel;Germany;Kiel, Germany;;;10 km, Half Marathon, Marathon;Official local running event in Kiel. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.kieler-foerde-marathon.de;Kilometerliebe Discovery;;;;;;;;
Koberstädter Waldmarathon;Running;30.08.2026;Egelsbach;Germany;Egelsbach, Germany;;;10 km, Half Marathon;Official local running event in Egelsbach. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.koberstaedter-marathon.de;Kilometerliebe Discovery;;;;;;;;
Kölner Frühlingslauf;Running;22.03.2026;Köln;Germany;Köln, Germany;;;5 km, 10 km;Official local running event in Köln. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://koelner-fruehlingslauf.de/;Kilometerliebe Discovery;;;;;;;;
Kölner Halbmarathon;Running;30.08.2026;Köln;Germany;Köln, Germany;;;Half Marathon;Official local running event in Köln. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://koelner-halbmarathon.de/;Kilometerliebe Discovery;;;;;;;;
König Ludwig Lauf Sommer;Running;26.09.2026;Oberammergau;Germany;Oberammergau, Germany;;;10 km, Half Marathon;Official local running event in Oberammergau. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.koenig-ludwig-lauf.com;Kilometerliebe Discovery;;;;;;;;
Königsforst Marathon Bergisch Gladbach;Ultramarathon;15.03.2026;Bergisch Gladbach;Germany;Bergisch Gladbach, Germany;;;Half Marathon, Marathon, 63.3 km;Official local running event in Bergisch Gladbach. Distances: Half Marathon, Marathon, 63.3 km. Discovered via Kilometerliebe and linked to the official event website.;https://koenigsforst-marathon.de/;Kilometerliebe Discovery;;;;;;;;
Königsschlösser Marathon;Running;25.07.2026;Füssen;Germany;Füssen, Germany;;;10 km, Half Marathon, Marathon;Official local running event in Füssen. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.laufwochenende-fuessen.de;Kilometerliebe Discovery;;;;;;;;
Kühlungsborner CrossLauf;Running;19.09.2026;Kühlungsborn;Germany;Kühlungsborn, Germany;;;5 km, 10 km, Half Marathon;Official local running event in Kühlungsborn. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.kuehlungsborn.de/laufveranstaltungen/;Kilometerliebe Discovery;;;;;;;;
Küstenkanallauf;Running;04.07.2026;Friesoythe/Kampe;Germany;Friesoythe/Kampe, Germany;;;10 km, Half Marathon;Official local running event in Friesoythe/Kampe. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.kc-ikenbruegge.de;Kilometerliebe Discovery;;;;;;;;
Kulkiathlon;Ultramarathon;07.06.2026;Markranstädt;Germany;Markranstädt, Germany;;;72 km;Official local running event in Markranstädt. Distances: 72 km. Discovered via Kilometerliebe and linked to the official event website.;https://kulkiathlon.com/;Kilometerliebe Discovery;;;;;;;;
Kyffhäuser Berglauf mit Berg-Marathon;Running;18.04.2026;Bad Frankenhausen;Germany;Bad Frankenhausen, Germany;;;10 km, Half Marathon, Marathon;Official local running event in Bad Frankenhausen. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.kyffhaeuser-berglauf.de;Kilometerliebe Discovery;;;;;;;;
(L)auf zur Venus;Running;13.09.2026;Bremen;Germany;Bremen, Germany;;;5 km;Official local running event in Bremen. Distances: 5 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.krebsgesellschaft-hb.de/;Kilometerliebe Discovery;;;;;;;;
Lahnparklauf;Running;30.08.2026;Wetzlar;Germany;Wetzlar, Germany;;;5 km, 10 km, Half Marathon;Official local running event in Wetzlar. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://team-naunheim.com/lahnparklauf;Kilometerliebe Discovery;;;;;;;;
LaminatDEPOT-Lauf Velbert;Running;05.07.2026;Velbert;Germany;Velbert, Germany;;;10 km;Official local running event in Velbert. Distances: 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://laminatdepot-lauf.de/;Kilometerliebe Discovery;;;;;;;;
Leipzig Marathon;Running;19.04.2026;Leipzig;Germany;Leipzig, Germany;;;5 km, 10 km, Half Marathon, Marathon;Official local running event in Leipzig. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.leipzigmarathon.de;Kilometerliebe Discovery;;;;;;;;
Leipzig RUN;Running;11.10.2026;Leipzig;Germany;Leipzig, Germany;;;10 km, Half Marathon;Official local running event in Leipzig. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.maximalpuls.com/events/leipzig-run;Kilometerliebe Discovery;;;;;;;;
LGV Frühjahrlauf Gießen;Running;08.03.2026;Gießen;Germany;Gießen, Germany;;;5 km, 10 km, Half Marathon;Official local running event in Gießen. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://lgv-marathon.de/fruehjahrslauf/;Kilometerliebe Discovery;;;;;;;;
Lipperland Marathon;Running;21.11.2026;Dörentrup;Germany;Dörentrup, Germany;;;10 km, Half Marathon, Marathon;Official local running event in Dörentrup. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.lipperland-marathon.de;Kilometerliebe Discovery;;;;;;;;
Lohners Vulkan-Marathon;Running;01.05.2026;Mendig;Germany;Mendig, Germany;;;5 km, 10 km, Half Marathon, Marathon;Official local running event in Mendig. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.vulkan-marathon.de;Kilometerliebe Discovery;;;;;;;;
Ludwigshafener Stadtlauf;Running;27.06.2026;Ludwigshafen am Rhein;Germany;Ludwigshafen am Rhein, Germany;;;5 km, 10 km;Official local running event in Ludwigshafen am Rhein. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.ludwigshafener-stadtlauf.de/;Kilometerliebe Discovery;;;;;;;;
Ludwigsluster Schlossgartenlauf;Running;14.06.2026;Ludwigslust;Germany;Ludwigslust, Germany;;;5 km, 10 km;Official local running event in Ludwigslust. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.schlossgartenlauf.de/;Kilometerliebe Discovery;;;;;;;;
