event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Schweriner Fünf-Seen-Lauf;Running;04.07.2026;Schwerin;Germany;Schwerin, Germany;53.6288297;11.4148038;5 km, 10 km, Half Marathon;Official local running event in Schwerin. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.fuenf-seen-lauf.de;Kilometerliebe Discovery;;;;;;;;
Siebengebirgsmarathon;Running;06.12.2026;Bad Honnef;Germany;Bad Honnef, Germany;50.6448582;7.2272534;Half Marathon, Marathon;Official local running event in Bad Honnef. Distances: Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://siebengebirgsmarathon.net;Kilometerliebe Discovery;;;;;;;;
Siegerländer AOK-Firmenlauf Siegen;Running;15.07.2026;Siegen;Germany;Siegen, Germany;50.8751175;8.0256131;5.5 km;Official local running event in Siegen. Distances: 5.5 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.siegerlaender-aok-firmenlauf.de/;Kilometerliebe Discovery;;;;;;;;
Sparkassen Silvesterlauf Werl-Soest;Running;31.12.2026;Werl;Germany;Werl, Germany;51.5533457;7.9155558;15 km;Official local running event in Werl. Distances: 15 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.silvesterlauf.com;Kilometerliebe Discovery;;;;;;;;
Skatstadtmarathon;Running;13.06.2026;Altenburg;Germany;Altenburg, Germany;50.9852411;12.4340988;5 km, 10 km, Half Marathon, Marathon;Official local running event in Altenburg. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.skatstadtmarathon.de;Kilometerliebe Discovery;;;;;;;;
Solinger Klingenlauf;Running;04.06.2026;Solingen;Germany;Solingen, Germany;51.1721629;7.0845893;5 km, 10 km;Official local running event in Solingen. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.klingenlauf.de/;Kilometerliebe Discovery;;;;;;;;
Solitudelauf Gerlingen;Running;12.04.2026;Gerlingen;Germany;Gerlingen, Germany;48.7983947;9.0624386;5 km, 10 km, Half Marathon;Official local running event in Gerlingen. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.solitudelauf.de;Kilometerliebe Discovery;;;;;;;;
Sollinglauf Marathon;Running;06.06.2026;Dassel;Germany;Dassel, Germany;51.8019566;9.6899606;10 km, Half Marathon, Marathon;Official local running event in Dassel. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://sollinglauf.de;Kilometerliebe Discovery;;;;;;;;
Sparkasse 3-Länder-Marathon;Running;11.10.2026;Lindau;Germany;Lindau, Germany;54.3846451;9.9034272;5 km, 10 km, Half Marathon, Marathon;Official local running event in Lindau. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.sparkasse-3-laender-marathon.at;Kilometerliebe Discovery;;;;;;;;
Sparkassen Firmenlauf Oberhausen;Running;18.06.2026;Oberhausen;Germany;Oberhausen, Germany;51.4696137;6.8514435;5 km;Official local running event in Oberhausen. Distances: 5 km. Discovered via Kilometerliebe and linked to the official event website.;https://oberhausener-firmenlauf.de/;Kilometerliebe Discovery;;;;;;;;
Sparkassen Phoenix-Halbmarathon Dortmund;Running;03.10.2026;Dortmund;Germany;Dortmund, Germany;51.5142273;7.4652789;Half Marathon;Official local running event in Dortmund. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://sparkassen-phoenix-halbmarathon.de;Kilometerliebe Discovery;;;;;;;;
Sparkassen Rügenbrücken-Marathon;Running;10.10.2026;Stralsund;Germany;Stralsund, Germany;54.3096314;13.0820846;10 km, Half Marathon, Marathon;Official local running event in Stralsund. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.ruegenmarathon.de;Kilometerliebe Discovery;;;;;;;;
Sparkassen-SAARathon;Running;11.10.2026;Saarbrücken;Germany;Saarbrücken, Germany;49.234362;6.996379;5 km, 10 km, Half Marathon, Marathon;Official local running event in Saarbrücken. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.westspangenlauf.de;Kilometerliebe Discovery;;;;;;;;
Sparkassen-Stadtlauf Zwickau;Running;10.05.2026;Zwickau;Germany;Zwickau, Germany;50.7185043;12.4939267;5 km, 10 km;Official local running event in Zwickau. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.zwickau.de/de/tourismus/veranstaltungen/stadtlauf/;Kilometerliebe Discovery;;;;;;;;
SportScheck RUN München;Running;05.07.2026;München;Germany;München, Germany;48.1371079;11.5753822;5 km, 10 km, Half Marathon;Official local running event in München. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.sportscheck.com/erlebnisse/run;Kilometerliebe Discovery;;;;;;;;
SportScheck RUN Nürnberg;Running;25.10.2026;Nürnberg;Germany;Nürnberg, Germany;49.453872;11.077298;10 km, Half Marathon;Official local running event in Nürnberg. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.sportscheck.com/erlebnisse/run;Kilometerliebe Discovery;;;;;;;;
Spreewald Marathon;Running;19.04.2026;Burg;Germany;Burg, Germany;49.9600346;6.3512069;10 km, Half Marathon, Marathon;Official local running event in Burg. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.spreewaldmarathon.de;Kilometerliebe Discovery;;;;;;;;
St. Elisabeth Firmenlauf Herne;Running;21.05.2026;Herne;Germany;Herne, Germany;51.5380394;7.219985;5 km;Official local running event in Herne. Distances: 5 km. Discovered via Kilometerliebe and linked to the official event website.;https://firmenlauf-herne.de/;Kilometerliebe Discovery;;;;;;;;
St. Wendel Marathon;Running;26.04.2026;St. Wendel;Germany;St. Wendel, Germany;49.4669906;7.1696192;10 km, Half Marathon, Marathon;Official local running event in St. Wendel. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.sankt-wendel.de/kreisstadt-sankt-wendel/sport-freizeit/globus-marathon-2;Kilometerliebe Discovery;;;;;;;;
Stadtlauf Hanau;Running;18.09.2026;Hanau;Germany;Hanau, Germany;50.132881;8.9169797;5 km;Official local running event in Hanau. Distances: 5 km. Discovered via Kilometerliebe and linked to the official event website.;https://hanauer-stadtlauf.de/;Kilometerliebe Discovery;;;;;;;;
