event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
IRONMAN 70.3 Valencia;Triathlon;19.04.2026;Valencia;Spain;Valencia, Spain;39.4697065;-0.3763353;Middle;Swim: Ocean | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-valencia;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Venice-Jesolo;Triathlon;03.05.2026;Jesolo;Italy;Jesolo, Italy;45.5347443;12.6538449;Middle;Swim: Ocean | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-venice-jesolo;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Alcúdia-Mallorca;Triathlon;09.05.2026;Alcúdia;Spain;Alcúdia, Spain;39.8532473;3.1212505;Middle;Swim: Ocean | Bike: Hilly | Run: Flat;https://www.ironman.com/races/im703-mallorca;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Aix-en-Provence;Triathlon;17.05.2026;Aix en Provence;France;Aix en Provence, France;43.5298424;5.4474738;Middle;Swim: Lake | Bike: Hilly | Run: Rolling;https://www.ironman.com/races/im703-aix-en-provence;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Lanzarote;Triathlon;23.05.2026;Lanzarote;Spain;Lanzarote, Spain;29.0397081;-13.6362916;Full;Swim: Ocean | Bike: Hilly | Run: Rolling;https://www.ironman.com/races/im-lanzarote;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Kraichgau;Triathlon;31.05.2026;Kraichgau;Germany;Kraichgau, Germany;49.1441149;8.822265;Middle;Swim: Lake | Bike: Hilly | Run: Rolling;https://www.ironman.com/races/im703-kraichgau;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Warsaw;Triathlon;07.06.2026;Warsaw;Poland;Warsaw, Poland;52.2319581;21.0067249;Middle;Swim: Lake | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-warsaw;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Bolton;Triathlon;07.06.2026;Bolton;United Kingdom;Bolton, United Kingdom;53.5845618;-2.4798107;Middle;Swim: Lake | Bike: Rolling | Run: Rolling;https://www.ironman.com/races/im703-bolton;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Switzerland;Triathlon;07.06.2026;Rapperswil-Jona;Switzerland;Rapperswil-Jona, Switzerland;47.2298277;8.859686;Middle;Swim: Lake | Bike: Hilly | Run: Rolling;https://www.ironman.com/races/im703-switzerland;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Alghero;Triathlon;07.06.2026;Alghero;Italy;Alghero, Italy;40.5587291;8.3153206;Middle;Swim: Ocean | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-alghero;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Kaernten-Klagenfurt, Austria;Triathlon;14.06.2026;Klagenfurt;Austria;Klagenfurt, Austria;46.623943;14.3075976;Full;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im-austria;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Tours Metropole - Loire Valley;Triathlon;14.06.2026;Tours;France;Tours, France;47.3900474;0.6889268;Full;Swim: River | Bike: Flat | Run: Flat;https://www.ironman.com/races/im-tours;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 European Championship Elsinore;Triathlon;21.06.2026;Elsinore;Denmark;Elsinore, Denmark;56.0348739;12.6130073;Middle;Swim: Bay | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-elsinore;IRONMAN official URL verified via Transition discovery;;;;;;;;
