event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
IRONMAN 70.3 Valencia;Triathlon;19.04.2026;Valencia;Spain;Valencia, Spain;;;Middle;Swim: Ocean | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-valencia;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Venice-Jesolo;Triathlon;03.05.2026;Jesolo;Italy;Jesolo, Italy;;;Middle;Swim: Ocean | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-venice-jesolo;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Alcúdia-Mallorca;Triathlon;09.05.2026;Alcúdia;Spain;Alcúdia, Spain;;;Middle;Swim: Ocean | Bike: Hilly | Run: Flat;https://www.ironman.com/races/im703-mallorca;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Aix-en-Provence;Triathlon;17.05.2026;Aix en Provence;France;Aix en Provence, France;;;Middle;Swim: Lake | Bike: Hilly | Run: Rolling;https://www.ironman.com/races/im703-aix-en-provence;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Lanzarote;Triathlon;23.05.2026;Lanzarote;Spain;Lanzarote, Spain;;;Full;Swim: Ocean | Bike: Hilly | Run: Rolling;https://www.ironman.com/races/im-lanzarote;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Kraichgau;Triathlon;31.05.2026;Kraichgau;Germany;Kraichgau, Germany;;;Middle;Swim: Lake | Bike: Hilly | Run: Rolling;https://www.ironman.com/races/im703-kraichgau;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Warsaw;Triathlon;07.06.2026;Warsaw;Poland;Warsaw, Poland;;;Middle;Swim: Lake | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-warsaw;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Bolton;Triathlon;07.06.2026;Bolton;United Kingdom;Bolton, United Kingdom;;;Middle;Swim: Lake | Bike: Rolling | Run: Rolling;https://www.ironman.com/races/im703-bolton;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Switzerland;Triathlon;07.06.2026;Rapperswil-Jona;Switzerland;Rapperswil-Jona, Switzerland;;;Middle;Swim: Lake | Bike: Hilly | Run: Rolling;https://www.ironman.com/races/im703-switzerland;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Alghero;Triathlon;07.06.2026;Alghero;Italy;Alghero, Italy;;;Middle;Swim: Ocean | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-alghero;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Kaernten-Klagenfurt, Austria;Triathlon;14.06.2026;Klagenfurt;Austria;Klagenfurt, Austria;;;Full;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im-austria;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Tours Metropole - Loire Valley;Triathlon;14.06.2026;Tours;France;Tours, France;;;Full;Swim: River | Bike: Flat | Run: Flat;https://www.ironman.com/races/im-tours;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 European Championship Elsinore;Triathlon;21.06.2026;Elsinore;Denmark;Elsinore, Denmark;;;Middle;Swim: Bay | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-elsinore;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Westfriesland;Triathlon;21.06.2026;Hoorn;Netherlands;Hoorn, Netherlands;;;Middle;Swim: Lake | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-westfriesland;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Frankfurt;Triathlon;28.06.2026;Frankfurt;Germany;Frankfurt, Germany;;;Full;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im-frankfurt;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Jonkoping;Triathlon;05.07.2026;Jonkoping;Sweden;Jonkoping, Sweden;;;Middle;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-jonkoping;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Switzerland Thun;Triathlon;05.07.2026;Thun;Switzerland;Thun, Switzerland;;;Full;Swim: Lake | Bike: Hilly | Run: Flat;https://www.ironman.com/races/im-switzerland;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Les Sables d'Olonne;Triathlon;05.07.2026;Les Sables d'Olonne;France;Les Sables d'Olonne, France;;;Middle;Swim: Ocean | Bike: Flat | Run: Rolling;https://www.ironman.com/races/im703-les-sables-dolonne;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Luxembourg;Triathlon;12.07.2026;Moselle;Luxembourg;Moselle, Luxembourg;;;Middle;Swim: River | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-luxembourg;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Vitoria-Gasteiz;Triathlon;12.07.2026;Vitoria-Gasteiz;Spain;Vitoria-Gasteiz, Spain;;;Full;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im-vitoria;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Vitoria-Gasteiz;Triathlon;12.07.2026;Vitoria-Gasteiz;Spain;Vitoria-Gasteiz, Spain;;;Middle;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-vitoria;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Gdynia;Triathlon;19.07.2026;Gdynia;Poland;Gdynia, Poland;;;Middle;Swim: Bay | Bike: Rolling | Run: Rolling;https://www.ironman.com/races/im703-gdynia;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Krakow;Triathlon;02.08.2026;Krakow;Poland;Krakow, Poland;;;Middle;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-krakow;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Kalmar-Sweden;Triathlon;15.08.2026;Kalmar;Sweden;Kalmar, Sweden;;;Full;Swim: Ocean | Bike: Flat | Run: Flat;https://www.ironman.com/races/im-kalmar;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Copenhagen;Triathlon;16.08.2026;Copenhagen;Denmark;Copenhagen, Denmark;;;Full;Swim: Bay | Bike: Rolling | Run: Rolling;https://www.ironman.com/races/im-copenhagen;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Leeds;Triathlon;16.08.2026;Leeds;United Kingdom;Leeds, United Kingdom;;;Full;Swim: Lake | Bike: Hilly | Run: Hilly;https://www.ironman.com/races/im-leeds;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Duisburg;Triathlon;16.08.2026;Duisburg;Germany;Duisburg, Germany;;;Middle;Swim: Lake | Bike: Flat | Run: Rolling;https://www.ironman.com/races/im703-duisburg;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Tallinn;Triathlon;22.08.2026;Tallinn;Estonia;Tallinn, Estonia;;;Full;Swim: Bay | Bike: Flat | Run: Flat;https://www.ironman.com/races/im-tallinn;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Leipzig;Triathlon;23.08.2026;Leipzig;Germany;Leipzig, Germany;;;Middle;Swim: Lake | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-leipzig;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Vichy;Triathlon;23.08.2026;Vichy;France;Vichy, France;;;Full;Swim: River | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im-vichy;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Tallinn;Triathlon;23.08.2026;Tallinn;Estonia;Tallinn, Estonia;;;Middle;Swim: Bay | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-tallinn;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Vichy;Triathlon;23.08.2026;Vichy;France;Vichy, France;;;Middle;Swim: River | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-vichy;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Poznan;Triathlon;30.08.2026;Poznan;Poland;Poznan, Poland;;;Middle;Swim: Lake | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-poznan;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Zell am See-Kaprun;Triathlon;30.08.2026;Zell am See;Austria;Zell am See, Austria;;;Middle;Swim: Lake | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-zell-am-see;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Knokke-Heist;Triathlon;06.09.2026;Knokke-Heist;Belgium;Knokke-Heist, Belgium;;;Middle;Swim: River | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-knokke-heist;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Erkner;Triathlon;13.09.2026;Erkner;Germany;Erkner, Germany;;;Middle;Swim: Lake | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-erkner;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Wales;Triathlon;13.09.2026;Pembrokeshire;United Kingdom;Pembrokeshire, United Kingdom;;;Full;Swim: Ocean | Bike: Hilly | Run: Hilly;https://www.ironman.com/races/im-wales;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Italy Emilia Romagna;Triathlon;19.09.2026;Cervia;Italy;Cervia, Italy;;;Full;Swim: Ocean | Bike: Flat | Run: Flat;https://www.ironman.com/races/im-emilia-romagna;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Emilia Romagna;Triathlon;20.09.2026;Cervia;Italy;Cervia, Italy;;;Middle;Swim: Ocean | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-emilia-romagna;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Weymouth;Triathlon;20.09.2026;Weymouth;United Kingdom;Weymouth, United Kingdom;;;Middle;Swim: Ocean | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-weymouth;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Calella-Barcelona;Triathlon;04.10.2026;Calella;Spain;Calella, Spain;;;Full;Swim: Ocean | Bike: Flat | Run: Flat;https://www.ironman.com/races/im-barcelona;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN Portugal-Cascais;Triathlon;17.10.2026;Cascais;Portugal;Cascais, Portugal;;;Full;Swim: Bay | Bike: Rolling | Run: Rolling;https://www.ironman.com/races/im-cascais;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Cascais Portugal;Triathlon;17.10.2026;Cascais;Portugal;Cascais, Portugal;;;Middle;Swim: Bay | Bike: Rolling | Run: Rolling;https://www.ironman.com/races/im703-cascais;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Málaga;Triathlon;18.10.2026;Málaga;Spain;Málaga, Spain;;;Middle;Swim: Ocean | Bike: Flat | Run: Flat;https://www.ironman.com/races/im703-malaga;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Poreč;Triathlon;18.10.2026;Porec;Croatia;Porec, Croatia;;;Middle;Swim: Ocean | Bike: Rolling | Run: Rolling;https://www.ironman.com/races/im703-croatia;IRONMAN official URL verified via Transition discovery;;;;;;;;
IRONMAN 70.3 Costa Navarino, Peloponnese, Greece;Triathlon;25.10.2026;Peloponnese;Greece;Peloponnese, Greece;;;Middle;Swim: Ocean | Bike: Rolling | Run: Flat;https://www.ironman.com/races/im703-greece;IRONMAN official URL verified via Transition discovery;;;;;;;;
