event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
10 Teiche Marathon;Running;12.09.2026;Hahnenklee;Germany;Hahnenklee, Germany;51.8602508;10.3384485;5 km, 10 km, Half Marathon, Marathon;Official local running event in Hahnenklee. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.harzer-wanderwochen.de/10-teiche-marathon;Kilometerliebe Discovery;
SanktPauli Ultra;Ultramarathon;15.05.2027;Rotenburg/Wümme - Tostedt;Germany;Rotenburg/Wümme - Tostedt, Germany;53.28265;9.7124175;100 km;Official local running event in Rotenburg/Wümme - Tostedt. Distances: 100 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.bremensanktpauli.de/infos;Kilometerliebe Discovery;
Freudenstadt Grüntal 12h/24h Lauf (Frühling);Ultramarathon;18.04.2026;Freudenstadt-Grüntal;Germany;Freudenstadt-Grüntal, Germany;48.4796222;8.4683264;12h / 24h Ultramarathon;Official local running event in Freudenstadt-Grüntal. Distances: 12h / 24h Ultramarathon. Discovered via Kilometerliebe and linked to the official event website.;https://neckarlauf.com/geh-heim-lauf.html;Kilometerliebe Discovery;
Freudenstadt Grüntal 12h/24h Lauf (Herbst);Ultramarathon;03.10.2026;Freudenstadt-Grüntal;Germany;Freudenstadt-Grüntal, Germany;48.4796222;8.4683264;12h / 24h Ultramarathon;Official local running event in Freudenstadt-Grüntal. Distances: 12h / 24h Ultramarathon. Discovered via Kilometerliebe and linked to the official event website.;https://neckarlauf.com/geh-heim-lauf.html;Kilometerliebe Discovery;
24h-Lauf Reichenau;Ultramarathon;13.06.2026;Konstanz;Germany;Konstanz, Germany;47.659216;9.1750718;24h Ultramarathon;Official local running event in Konstanz. Distances: 24h Ultramarathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.24h-lauf-reichenau.de/;Kilometerliebe Discovery;
3. Rureifel Trail;Ultramarathon;18.04.2026;Nideggen;Germany;Nideggen, Germany;50.6913559;6.482614;77 km;Official local running event in Nideggen. Distances: 77 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.rureifel-trail.com;Kilometerliebe Discovery;
7-Gebirgsmarathon;Running;13.12.2026;Bad Honnef;Germany;Bad Honnef, Germany;50.6448582;7.2272534;Half Marathon, Marathon;Official local running event in Bad Honnef. Distances: Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.siebengebirgsmarathon.de;Kilometerliebe Discovery;
adidas Runners City Night Berlin;Running;01.08.2026;Berlin;Germany;Berlin, Germany;52.5173885;13.3951309;5 km, 10 km;Official local running event in Berlin. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.berlin-citynight.de/;Kilometerliebe Discovery;
Adventslauf Lage;Running;06.12.2026;Lage;Germany;Lage, Germany;51.9914084;8.7919583;5 km, 10 km;Official local running event in Lage. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.lg-lippe.de;Kilometerliebe Discovery;
AESCULAP Donautal Marathon;Running;07.06.2026;Tuttlingen;Germany;Tuttlingen, Germany;47.9844315;8.8186606;10 km, Half Marathon, Marathon;Official local running event in Tuttlingen. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.runundfun.de;Kilometerliebe Discovery;
Ahrathon Erlebnislauf;Running;13.06.2026;Bad Neuenahr-Ahrweiler;Germany;Bad Neuenahr-Ahrweiler, Germany;50.5444551;7.1186671;5 km, 10 km, Half Marathon, Marathon;Official local running event in Bad Neuenahr-Ahrweiler. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://ahrathon.de;Kilometerliebe Discovery;
