event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Volksbank Stadtlauf Selm 2026;Running;18.06.2026;Selm;Germany;Campus Selm, Selm, North Rhine-Westphalia, Germany, Germany;51.7005549;7.468614;10 km, 5 km;Der Volksbank Stadtlauf Selm findet zum vierten Mal im Rahmen des beliebten Stadtfestwochenendes statt. Die amtlich vermessene Strecke führt durch den schönen Auenpark und erfreut sich großer Beliebtheit bei Sportlern aus Selm und der Region. Die Veranstaltung bietet Läufe für verschiedene Altersklassen, von Bambini bis zu Jedermann-Läufen über 5 und 10 Kilometer. Bürgermeister Thomas Orlowski wird selbst am 10-Kilom;https://www.selm.de/service-aktuelles/aktuelle-meldungen/anmeldungen-fuer-4-volksbank-stadtlauf-moeglich.html;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/volksbank_stadtlauf_selm_2026/;;;;;;;;
LKZ Firmenlauf;Running;17.06.2026;Ludwigsburg;Germany;Ludwigsburg, Baden-Württemberg, Germany, Germany;48.8953937;9.1895147;5 km;Der LKZ Firmenlauf wird vom MTV Ludwigsburg gemeinsam mit der Ludwigsburger Kreiszeitung organisiert und findet am 17. Juni 2026 statt. Die 4,5 km lange Strecke führt rund um das Ludwig-Jahn-Stadion und den MTV Ludwigsburg. Über 100 Unternehmen schicken jährlich mehrere tausend Läufer, Nordic Walker und Walker ins Rennen, die von zahlreichen ehrenamtlichen Helfern betreut werden. Neben dem sportlichen Wettkampf stehe;https://mtv-ludwigsburg.de/project/lkz-firmenlauf/;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/lkz_firmenlauf/;;;;;;;;
Sommernachtslauf am Hufeisen;Running;17.06.2026;Hesse;Germany;Linsengericht, Main-Kinzig-Kreis, Hesse, Germany, Germany;50.1694463;9.1971928;5 km;Der Sommernachtslauf am Hufeisen ist ein traditionsreicher Lauf in der Gemeinde Linsengericht, der seit über 20 Jahren vom Laufteam Gelnhausen veranstaltet wird. Die Veranstaltung zeichnet sich durch ihren familiären Charakter und die große Beliebtheit im Main-Kinzig-Kreis aus. Das Start- und Zielgelände befindet sich auf dem Parkplatz des Hufeisens, eingebettet in ein Waldgebiet zwischen den Ortsteilen Geißlitz, Gro;https://www.laufteam-gelnhausen.de/veranstaltungen/sommernachtslauf/;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/sommernachtslauf_am_hufeisen/;;;;;;;;
40. Braunschweiger Nachtlauf;Running;19.06.2026;Braunschweig;Germany;Bohlweg, Braunschweig, Lower Saxony, Germany, Germany;52.264771;10.5267819;10 km, 6.5 km;Der 40. Braunschweiger Nachtlauf am 19. Juni 2026 bietet ein vielfältiges Sportangebot für alle Altersklassen, von Bambini- bis zu Jedermannläufen. Die Läufe führen durch die Innenstadt von Braunschweig mit Start und Ziel am Bohlweg, die Bambiniläufe starten am Burgplatz. Die Veranstaltung ist bekannt für ihre besondere Atmosphäre und die Unterstützung durch die Braunschweigische Sparkassenstiftung, die das Event erm;https://www.mtv-bs.de/de/nachtlauf/;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/40_braunschweiger_nachtlauf/;;;;;;;;
Benefizlauf - Laufend Gutes tun;Running;19.06.2026;Wangen im Allgäu;Germany;Niederwangen, Wangen im Allgäu, Baden-Württemberg, Germany, Germany;47.6721727;9.7991925;Marathon, Halbmarathon, 10 km;Der Benefizlauf Niederwangen ist eine inklusive Laufveranstaltung, die zugunsten der Lebenshilfe organisiert wird. Die Veranstaltung verbindet sportlichen Einsatz mit sozialem Engagement und richtet sich an Läufer aller Altersgruppen. Die Strecke führt durch die schöne Umgebung von Niederwangen und bietet eine tolle Gelegenheit, Gutes zu tun und gemeinsam aktiv zu sein. Unterstützt wird der Lauf von verschiedenen lok;https://www.sg-niederwangen.de/events/standard-titel/benefizlauf/;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/benefizlauf_laufend_gutes_tun/;;;;;;;;
Brunsbüttler Citylauf;Running;19.06.2026;Brunsbüttel;Germany;Stadion Bildungszentrum am Ziegelweg, Brunsbüttel, Schleswig-Holstein, Germany, Germany;53.901544;9.12846;10 km, 5 km;Der Brunsbüttler Citylauf ist ein städtisches Laufevent in Brunsbüttel, Schleswig-Holstein, mit 5 km und 10 km Rennen sowie einem kurzen Stadionlauf für Kinder. Start und Ziel befinden sich am Stadion Bildungszentrum am Ziegelweg. Die Veranstaltung richtet sich an Erwachsene, Jugendliche, Schulgruppen, Firmenmannschaften und Kinder und ist nicht nur für Vereinssportler gedacht. Die 5 km Strecke ist ein Rundkurs, währ;https://trainerday.com/ja/events/de/24-brunsbuttler-citylauf-2026;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/brunsbuttler_citylauf/;;;;;;;;
Erftflitzer Lauf;Running;19.06.2026;Neuss;Germany;Neuss-Holzheim, Neuss, North Rhine-Westphalia, Germany, Germany;51.1981778;6.6916476;5 km;Der Erftflitzerlauf in Neuss-Holzheim ist eine familienfreundliche Laufveranstaltung mit einer langen Tradition seit 1993. Die Veranstaltung bietet verschiedene Wettbewerbe für Kinder, Jugendliche und Erwachsene, von kurzen Bambini-Läufen bis zu 5,5 km für Erwachsene und Jugendliche. Der Lauf zeichnet sich durch seinen Spaßcharakter aus, bei dem der Gemeinschaftsgedanke und die Freude am Laufen im Vordergrund stehen.;https://www.sg-holzheim.de/leichtathletik/erftflitzerlauf/;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/erftflitzer_lauf/;;;;;;;;
Fürstenwaldlauf;Running;19.06.2026;Ochsenhausen;Germany;Ochsenhausen, Baden-Württemberg, Germany, Germany;48.0711222;9.9512104;10 km;Der Fürstenwaldlauf ist ein traditionsreicher Landschaftslauf in Oberschwaben, der 2026 bereits zum 45. Mal stattfindet. Er wird im Rahmen des Öchslefestes der Stadt Ochsenhausen am 19. Juni veranstaltet und zeichnet sich durch eine familiäre Atmosphäre aus. Der Hauptlauf ist ein Viertelmarathon, der überwiegend auf Waldwegen mit teils anspruchsvollen Abschnitten verläuft und mit einer Stadionrunde im Sportgelände Ho;https://www.svochsenhausen.de/leichtathletik/fuerstenwaldlauf/;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/furstenwaldlauf/;;;;;;;;
Högl-Berglauf;Running;19.06.2026;Ainring;Germany;Ainring, Bavaria, Germany, Germany;;;10 km;Der Högl-Berglauf ist ein traditionsreicher Berglauf, der seit 1980 jährlich in Ainring stattfindet. Die Strecke führt über 9,8 km mit 480 Höhenmetern und endet oberhalb der Neubichler Alm. 2004 wurde auf der verlängerten Strecke die Deutsche Berglaufmeisterschaft ausgetragen. Neben dem Hauptlauf ist der Schüler-Gipfel-Sprint ein fester Bestandteil des Programms und bietet auch jungen Läufern eine spannende Herausfor;https://sc-ainring.de/hoegl-lauf/;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/hogl_berglauf/;;;;;;;;
Jemgumer Dörploop;Running;19.06.2026;Jemgum;Germany;Jemgum, Niedersachsen, Germany, Germany;53.2631054;7.3689976;Halbmarathon, 10 km, 5 km;Der Jemgumer Dörploop ist ein vielseitiger Laufwettbewerb in Jemgum, Niedersachsen, der verschiedene Distanzen für alle Altersgruppen anbietet. Von Bambini- und Schülerläufen bis hin zu anspruchsvollen Strecken über 21,2 km und Staffelwettbewerben mit elektronischer Zeitmessung ist für jeden Läufer etwas dabei. Die Veranstaltung findet am Sportzentrum in Jemgum statt und bietet eine freundliche Atmosphäre mit Verpfle;https://lauftreff-sv-ems-jemgum.de/jemgumer-doerploop/;Laufrennen discovery, official organizer URL, source: https://laufrennen.de/rennseiten/jemgumer_dorploop/;;;;;;;;
