event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Wintermarathon Leipzig;Running;16.01.2027;Leipzig;Deutschland;Leipzig, Deutschland;51.3406321;12.3747329;21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/wintermarathon-leipzig/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Winterstaffel Pulheim;Running;31.01.2027;Pulheim;Deutschland;Pulheim, Deutschland;50.9979888;6.8025409;5 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/winterstaffel-pulheim/;https://www.winterstaffel.de/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Sevilla Marathon;Running;21.02.2027;Sevilla;Spanien;Sevilla, Spanien;37.3886303;-5.9953403;42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/sevilla-marathon/;https://de.zurichmaratonsevilla.es/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Malta Marathon;Running;28.02.2027;Mdina;Malta;Mdina, Malta;35.8858923;14.4025288;21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/malta-marathon/;https://www.maltamarathon.com/;marathon.de;https://www.marathon.de/logos/malta-marathon.jpg
Barcelona Marathon;Running;14.03.2027;Barcelona;Spanien;Barcelona, Spanien;41.3825802;2.177073;42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/barcelona-marathon/;https://www.zurichmaratobarcelona.es/;marathon.de;https://www.marathon.de/logos/barcelona-marathon.jpg
Bienwald Marathon;Running;14.03.2027;Kandel;Deutschland;Kandel, Deutschland;49.0809754;8.1970699;21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/bienwald-marathon/;marathon.de;https://www.marathon.de/logos/bienwald-marathon.jpg
Rome Marathon;Running;14.03.2027;Rom;Italien;Rom, Italien;41.8933203;12.4829321;42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/rome-marathon/;https://www.runromethemarathon.com/;marathon.de;https://www.marathon.de/logos/rome-marathon.jpg
Königsforst Marathon;Ultramarathon;14.03.2027;Bensberg;Deutschland;Bensberg, Deutschland;50.9662418;7.1614433;21 km / 42 km / 63 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/koenigsforst-marathon/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Würzburger Gedächtnislauf;Ultramarathon;20.03.2027;Würzburg;Deutschland;Würzburg, Deutschland;49.7933723;9.9309779;10 km / 21 km / 28 km / 44 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/wuerzburger-gedaechtnislauf/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Mein Freiburg Marathon;Running;04.04.2027;Freiburg;Deutschland;Freiburg, Deutschland;47.9960901;7.8494005;3 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/mein-freiburg-marathon/;marathon.de;https://www.marathon.de/logos/mein-freiburg-marathon.jpg
Generali Berliner Halbmarathon;Running;04.04.2027;Berlin;Deutschland;Berlin, Deutschland;52.5173885;13.3951309;21 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/halbmarathon-berlin/;marathon.de;https://www.marathon.de/logos/halbmarathon-berlin.jpg
Saaletal Marathon;Running;10.04.2027;Ramsthal;Deutschland;Ramsthal, Deutschland;50.1398945;10.0692744;10 km / 21 km / 33 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/saaletal-marathon/;marathon.de;https://www.marathon.de/logos/saaletal-marathon.jpg
Hannover Marathon;Running;11.04.2027;Hannover;Deutschland;Hannover, Deutschland;52.3744779;9.7385532;10 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/hannover-marathon/;https://www.marathon-hannover.de/;marathon.de;https://www.marathon.de/logos/hannover-marathon.jpg
Obermain Marathon;Running;11.04.2027;Bad Staffelstein;Deutschland;Bad Staffelstein, Deutschland;50.1028339;10.999159;13 km / 21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/obermain-marathon/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Zürich Marathon;Running;11.04.2027;Zürich;Schweiz;Zürich, Schweiz;47.3744489;8.5410422;10 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/zuerich-marathon/;https://www.zuerichmarathon.ch/;marathon.de;https://www.marathon.de/logos/zuerich-marathon.jpg
Linz Donau Marathon;Running;11.04.2027;Linz;Österreich;Linz, Österreich;48.3059078;14.286198;5 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/linz-donau-marathon/;https://www.linzmarathon.at/;marathon.de;https://www.marathon.de/logos/linz-donau-marathon.jpg
Leipzig Marathon;Running;18.04.2027;Leipzig;Deutschland;Leipzig, Deutschland;51.3406321;12.3747329;4 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/leipzig-marathon/;marathon.de;https://www.marathon.de/logos/leipzig-marathon.jpg
Vienna City Marathon;Running;18.04.2027;Wien;Österreich;Wien, Österreich;48.2083537;16.3725042;21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/vienna-city-marathon/;https://www.vienna-marathon.com/;marathon.de;https://www.marathon.de/logos/vienna-marathon.jpg
Tangermünder Elbdeichmarathon;Running;18.04.2027;Tangermünde;Deutschland;Tangermünde, Deutschland;52.5431104;11.9722524;10 km / 21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/tangermuender-elbdeichmarathon/;marathon.de;https://www.marathon.de/logos/tangermuender-elbdeichmarathon.jpg
LIWA-LaufEvent;Running;18.04.2027;Lichtenwald-Hegenlohe;Deutschland;Lichtenwald-Hegenlohe, Deutschland;48.7338334;9.4766259;7 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/schurwald-marathon/;https://www.liwalauf.tsv-lichtenwald.de/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
uniper Marathon Düsseldorf;Running;18.04.2027;Düsseldorf;Deutschland;Düsseldorf, Deutschland;51.2254018;6.7763137;21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/marathon-duesseldorf/;marathon.de;https://www.marathon.de/logos/duesseldorf-marathon.jpg
Salvus-Teekottenlauf;Running;23.04.2027;Emsdetten;Deutschland;Emsdetten, Deutschland;52.174687;7.5301756;5 km / 10 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/teekottenlauf/;https://www.salvus-teekottenlauf.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
