event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Wintermarathon Leipzig;Running;16.01.2027;Leipzig;Germany;Leipzig, Germany;51.3406321;12.3747329;21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/wintermarathon-leipzig/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Winterstaffel Pulheim;Running;31.01.2027;Pulheim;Germany;Pulheim, Germany;50.9979888;6.8025409;5 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/winterstaffel-pulheim/;https://www.winterstaffel.de/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Sevilla Marathon;Running;21.02.2027;Sevilla;Spain;Sevilla, Spanien;37.383606;-5.97997;42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/sevilla-marathon/;https://de.zurichmaratonsevilla.es/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Malta Marathon;Running;28.02.2027;Mdina;Malta;Mdina, Malta;35.8858923;14.4025288;21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/malta-marathon/;https://www.maltamarathon.com/;marathon.de;https://www.marathon.de/logos/malta-marathon.jpg
Barcelona Marathon;Running;14.03.2027;Barcelona;Spain;Barcelona, Spanien;41.403614;2.153082;42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/barcelona-marathon/;https://www.zurichmaratobarcelona.es/;marathon.de;https://www.marathon.de/logos/barcelona-marathon.jpg
Bienwald Marathon;Running;14.03.2027;Kandel;Germany;Kandel, Germany;49.0809754;8.1970699;21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/bienwald-marathon/;marathon.de;https://www.marathon.de/logos/bienwald-marathon.jpg
Rome Marathon;Running;14.03.2027;Rom;Italien;Rom, Italien;41.8933203;12.4829321;42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/rome-marathon/;https://www.runromethemarathon.com/;marathon.de;https://www.marathon.de/logos/rome-marathon.jpg
Königsforst Marathon;Ultramarathon;14.03.2027;Bensberg;Germany;Bensberg, Germany;50.9662418;7.1614433;21 km / 42 km / 63 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/koenigsforst-marathon/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Würzburger Gedächtnislauf;Ultramarathon;20.03.2027;Würzburg;Germany;Würzburg, Germany;49.7933723;9.9309779;10 km / 21 km / 28 km / 44 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/wuerzburger-gedaechtnislauf/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Mein Freiburg Marathon;Running;04.04.2027;Freiburg;Germany;Freiburg, Germany;47.9960901;7.8494005;3 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/mein-freiburg-marathon/;marathon.de;https://www.marathon.de/logos/mein-freiburg-marathon.jpg
Generali Berliner Halbmarathon;Running;04.04.2027;Berlin;Germany;Berlin, Germany;52.5173885;13.3951309;21 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/halbmarathon-berlin/;marathon.de;https://www.marathon.de/logos/halbmarathon-berlin.jpg
