event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Lauf zwischen den Meeren;Ultramarathon;30.05.2026;Husum;Deutschland;Husum, Deutschland;54.4854137;9.0537941;97 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/lauf-zwischen-den-meeren/;https://www.lauf-zwischen-den-meeren.de/;marathon.de;https://www.marathon.de/kategorien/b8921e67a0.jpg
Steinberger Wald-Volkslauf;Running;30.05.2026;Dietzenbach-Steinberg;Deutschland;Dietzenbach-Steinberg, Deutschland;50.0261374;8.7931028;5 km / 10 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/steinberger-wald-volkslauf/;http://sc-steinberg-langlauf.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Mützenicher VENNLAUF;Running;30.05.2026;Monschau-Mützenich;Deutschland;Monschau-Mützenich, Deutschland;50.5632359;6.207414;4 km / 10 km / 12 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/muetzenicher-vennlauf/;https://www.vennlauf.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Kyffhäuser Bergmarathon;Running;31.05.2026;Bad Frankenhausen;Deutschland;Bad Frankenhausen, Deutschland;51.3560142;11.1005235;6 km / 15 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/kyffhaeuser-bergmarathon/;https://www.kyffhaeuser-berglauf.de/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Ingelheimer Halbe;Running;31.05.2026;Ingelheim;Deutschland;Ingelheim, Deutschland;49.9752749;8.0547274;5 km / 10 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/sebastian-muenster-stadtlauf/;https://www.der-ingelheimer-halbe.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Elsterlauf;Running;31.05.2026;Bad Liebenwerda;Deutschland;Bad Liebenwerda, Deutschland;51.5158115;13.39272;7 km / 11 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/elsterlauf/;https://www.elsterlauf.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Deichlauf Hohnstorf;Running;06.06.2026;Hohnstorf Elbe;Deutschland;Hohnstorf Elbe, Deutschland;53.3667008;10.5499985;6 km / 10 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/deichlauf-hohnstorf/;https://www.tus-hohnstorf-elbe.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Finkenwerder Insellauf;Running;06.06.2026;Hamburg;Deutschland;Hamburg, Deutschland;53.5501721;10.0013165;5 km / 10 km / 20 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/finkenwerder-insellauf/;https://www.finkenwerder-insellauf.de/;marathon.de;https://www.marathon.de/kategorien/9d67eb951b.jpg
Salzkotten Marathon;Running;07.06.2026;Salzkotten;Deutschland;Salzkotten, Deutschland;51.6717596;8.6068636;5 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/salzkotten-marathon/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Europamarathon Görlitz;Running;07.06.2026;Görlitz;Deutschland;Görlitz, Deutschland;51.1563185;14.991018;5 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/europamarathon/;marathon.de;https://www.marathon.de/logos/europamarathon.jpg
