event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Swiss Canyon Trail;Ultramarathon;29.05.2026;Couvet;Schweiz;Couvet, Schweiz;;;31 km / 51 km / 81 km / 111 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/swiss-canyon-trail/;https://swisscanyontrail.com/de/;marathon.de;https://www.marathon.de/logos/swiss-canyon-trail.jpg
Lauf zwischen den Meeren;Ultramarathon;30.05.2026;Husum;Deutschland;Husum, Deutschland;;;97 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/lauf-zwischen-den-meeren/;https://www.lauf-zwischen-den-meeren.de/;marathon.de;https://www.marathon.de/kategorien/b8921e67a0.jpg
Seen-Lauf Tannheimer Tal;Running;30.05.2026;Tannheim;Österreich;Tannheim, Österreich;;;10 km / 23 km / 30 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/seen-lauf-tannheimer-tal/;https://www.seen-lauf.com/;marathon.de;https://www.marathon.de/logos/seen-lauf-tannheimer-tal.jpg
adidas Stockholm Marathon;Running;30.05.2026;Stockholm;Schweden;Stockholm, Schweden;;;42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/stockholm-marathon/;https://www.stockholmmarathon.se/;marathon.de;https://www.marathon.de/logos/stockholm-marathon.jpg
Steinberger Wald-Volkslauf;Running;30.05.2026;Dietzenbach-Steinberg;Deutschland;Dietzenbach-Steinberg, Deutschland;;;5 km / 10 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/steinberger-wald-volkslauf/;http://sc-steinberg-langlauf.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Mützenicher VENNLAUF;Running;30.05.2026;Monschau-Mützenich;Deutschland;Monschau-Mützenich, Deutschland;;;4 km / 10 km / 12 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/muetzenicher-vennlauf/;https://www.vennlauf.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Kyffhäuser Bergmarathon;Running;31.05.2026;Bad Frankenhausen;Deutschland;Bad Frankenhausen, Deutschland;;;6 km / 15 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/kyffhaeuser-bergmarathon/;https://www.kyffhaeuser-berglauf.de/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Ingelheimer Halbe;Running;31.05.2026;Ingelheim;Deutschland;Ingelheim, Deutschland;;;5 km / 10 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/sebastian-muenster-stadtlauf/;https://www.der-ingelheimer-halbe.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Elsterlauf;Running;31.05.2026;Bad Liebenwerda;Deutschland;Bad Liebenwerda, Deutschland;;;7 km / 11 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/elsterlauf/;https://www.elsterlauf.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Bieler Lauftage;Ultramarathon;05.06.2026;Biel;Schweiz;Biel, Schweiz;;;11 km / 21 km / 100 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/bieler-lauftage/;https://www.100km.ch/;marathon.de;https://www.marathon.de/logos/bieler-lauftage.jpg
Deichlauf Hohnstorf;Running;06.06.2026;Hohnstorf Elbe;Deutschland;Hohnstorf Elbe, Deutschland;;;6 km / 10 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/deichlauf-hohnstorf/;https://www.tus-hohnstorf-elbe.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Finkenwerder Insellauf;Running;06.06.2026;Hamburg;Deutschland;Hamburg, Deutschland;;;5 km / 10 km / 20 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/finkenwerder-insellauf/;https://www.finkenwerder-insellauf.de/;marathon.de;https://www.marathon.de/kategorien/9d67eb951b.jpg
Salzkotten Marathon;Running;07.06.2026;Salzkotten;Deutschland;Salzkotten, Deutschland;;;5 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/salzkotten-marathon/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Europamarathon Görlitz;Running;07.06.2026;Görlitz;Deutschland;Görlitz, Deutschland;;;5 km / 10 km / 21 km / 42 km;Imported from marathon.de Laufkalender.;https://www.marathon.de/laufevent/europamarathon/;marathon.de;https://www.marathon.de/logos/europamarathon.jpg
ProPotsdam Schlösserlauf;Running;07.06.2026;Potsdam;Deutschland;Potsdam, Deutschland;;;10 km / 21 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/propotsdam-schloesserlauf/;https://www.potsdam-schloesserlauf.de/;marathon.de;https://www.marathon.de/kategorien/2232d51c55.jpg
Fischland Darss-Zingst Ultramarathon;Ultramarathon;13.06.2026;Ribnitz-Damgarten;Deutschland;Ribnitz-Damgarten, Deutschland;;;100 km / 115 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/fischland-darss-zingst-ultramarathon/;https://www.fischland-darss-zingst-ultramarathon.eu/;marathon.de;https://www.marathon.de/kategorien/b8921e67a0.jpg
Tollenseseelauf;Running;13.06.2026;Neubrandenburg;Deutschland;Neubrandenburg, Deutschland;;;10 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/tollenseseelauf/;https://tollenseseelauf.de/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Himmelswegelauf;Running;13.06.2026;Nebra;Deutschland;Nebra, Deutschland;;;10 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/himmelswegelauf/;https://www.himmelswegelauf.de/;marathon.de;https://www.marathon.de/kategorien/9df6b59342.jpg
Tschirgant Sky Run;Ultramarathon;13.06.2026;Imst;Österreich;Imst, Österreich;;;17 km / 27 km / 43 km / 53 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/tschirgant-sky-run/;https://www.tschirgant-sky.run/;marathon.de;https://www.marathon.de/logos/tschirgant-sky-run.jpg
Ebbser Koasamarsch;Ultramarathon;13.06.2026;Ebbs;Österreich;Ebbs, Österreich;;;20 km / 33 km / 44 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/ebbser-koasamarsch/;https://www.koasamarsch.at/;marathon.de;https://www.marathon.de/kategorien/06527d7ce5.jpg
LGT Alpin Marathon Liechtenstein;Running;13.06.2026;Bendern;Liechtenstein;Bendern, Liechtenstein;;;10 km / 21 km / 42 km;Imported from marathon.de Laufkalender. Source listing: https://www.marathon.de/laufevent/alpin-marathon-liechtenstein/;https://www.lgt-alpin-marathon.li/;marathon.de;https://www.marathon.de/logos/alpin-marathon-liechtenstein.jpg
