event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Sunrise Run Düsseldorf;Running;28.06.2026;Düsseldorf;Germany;40721 Düsseldorf, Schalbruch 210 (Start/Ziel am vabali spa);51.1825569;6.9111903;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.vabali.de/duesseldorf/sunriserun/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/sunrise-run-duesseldorf/;https://www.runnersworld.de/laufkalender/sunrise-run-duesseldorf/;unclear;;;2026-06-17;;;
Challenge Kaiserwinkl-Walchsee Triathlon;Running;28.06.2026;Walchsee-Kaiserwinkl;Germany;AT 6344 Walchsee-Kaiserwinkl, Johannesstraße 30 (Walchsee);51.654819;7.198288;5 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.challenge-walchsee.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/challenge-kaiserwinkl-walchsee-triathlon/;https://www.runnersworld.de/laufkalender/challenge-kaiserwinkl-walchsee-triathlon/;unclear;;;2026-06-17;;;
Ironman France Nice;Running;28.06.2026;Nizza;Germany;FR 06000 Nizza, Promenade des Anglais 1 (Plage du Centenaire);;;Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/im-france;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-france/;https://www.runnersworld.de/laufkalender/ironman-france/;unclear;;;2026-06-17;;;
Lousberglauf Aachen;Running;01.07.2026;Aachen;Germany;52072 Aachen, Rütscher Straße 175 (Lousberg);50.788602;6.0697404;5.5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.hochschulsport.rwth-aachen.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/lousberglauf-aachen/;https://www.runnersworld.de/laufkalender/lousberglauf-aachen/;unclear;;;2026-06-17;;;
Forster Rosen-Pokal-Lauf;Running;03.07.2026;Forst;Germany;03149 Forst, Ringstraße (Freibad);51.68256;14.637928;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://ltsv.de/ausdauercup-spree-neisse/termine/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/forster-rosen-pokal-lauf/;https://www.runnersworld.de/laufkalender/forster-rosen-pokal-lauf/;unclear;;;2026-06-17;;;
Brunnenfestlauf Reute;Running;03.07.2026;Bad Waldsee;Germany;88339 Bad Waldsee, Augustinerstraße (Dorfplatz in Reute);47.9209556;9.7542772;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.tsv-reute.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/brunnenfestlauf-reute/;https://www.runnersworld.de/laufkalender/brunnenfestlauf-reute/;unclear;;;2026-06-17;;;
Stubai Ultratrail Neustift;Ultramarathon;03.07.2026;Neustift;Germany;AT 6167 Neustift, Dorf 1;48.5791354;13.1948733;100 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.stubai.at/ultra-trail/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/stubai-ultratrail-neustift/;https://www.runnersworld.de/laufkalender/stubai-ultratrail-neustift/;unclear;;;2026-06-17;;;
Wielemer Viertele Salem-Mittelstenweiler;Running;03.07.2026;Salem-Mittelstenweiler;Germany;88682 Salem-Mittelstenweiler, Lindhalden (Dorfmitte/DGH);47.7502685;9.3359655;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://wielemer-viertele.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/wielemer-viertele-salem-mittelstenweiler/;https://www.runnersworld.de/laufkalender/wielemer-viertele-salem-mittelstenweiler/;unclear;;;2026-06-17;;;
Drevenacker Abendlauf;Running;03.07.2026;Hünxe-Drevenack;Germany;46569 Hünxe-Drevenack, Buschweg 7 (Sportplatz);51.735159;11.587628;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://tusdrevenack.de/laufveranstaltung-abendlauf-drevenack-huenxe/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/drevenackerabendlauf/;https://www.runnersworld.de/laufkalender/drevenackerabendlauf/;unclear;;;2026-06-17;;;
Nachtmarathon Marburg;Running;03.07.2026;Marburg;Germany;35037 Marburg, Markt 1;50.8087424;8.7705203;10 km, Half Marathon, Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.nachtmarathon.org/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/nachtmarathonmarburg/;https://www.runnersworld.de/laufkalender/nachtmarathonmarburg/;unclear;;;2026-06-17;;;
Bernina Ultraks Pontresina;Ultramarathon;04.07.2026;Pontresina;Germany;CH 7504 Pontresina, Via Maistra 138 (Rondo);;;Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://bernina.ultraks.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/bernina-ultraks-pontresina/;https://www.runnersworld.de/laufkalender/bernina-ultraks-pontresina/;unclear;;;2026-06-17;;;
Thüringen Ultra Fröttstädt;Ultramarathon;04.07.2026;Fröttstädt;Germany;99880 Fröttstädt,;50.9343185;10.5724088;100 km, 50 km;Running event discovered via Runner's World and linked to the official organizer website.;https://thueringenultra.de/startseite/index.php;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/thueringen-ultra-froettstaedt/;https://www.runnersworld.de/laufkalender/thueringen-ultra-froettstaedt/;unclear;;;2026-06-17;;;
Schweriner Fünf-Seen-Lauf;Running;04.07.2026;Schwerin;Germany;19053 Schwerin, Bertha-Klingberg-Platz (Schwimmende Wiese/Schweriner Schlossgarten);53.635282;11.407456;5 km, 10 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.fuenf-seen-lauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/schwerinerfuenfseenlauf/;https://www.runnersworld.de/laufkalender/schwerinerfuenfseenlauf/;unclear;;;2026-06-17;;;
