event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Sunrise Run Düsseldorf;Running;28.06.2026;Düsseldorf;Germany;40721 Düsseldorf, Schalbruch 210 (Start/Ziel am vabali spa);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.vabali.de/duesseldorf/sunriserun/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/sunrise-run-duesseldorf/;https://www.runnersworld.de/laufkalender/sunrise-run-duesseldorf/;unclear;;;2026-06-17;;;
Challenge Kaiserwinkl-Walchsee Triathlon;Running;28.06.2026;Walchsee-Kaiserwinkl;Germany;AT 6344 Walchsee-Kaiserwinkl, Johannesstraße 30 (Walchsee);;;5 km, Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.challenge-walchsee.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/challenge-kaiserwinkl-walchsee-triathlon/;https://www.runnersworld.de/laufkalender/challenge-kaiserwinkl-walchsee-triathlon/;unclear;;;2026-06-17;;;
Ironman France Nice;Running;28.06.2026;Nizza;Germany;FR 06000 Nizza, Promenade des Anglais 1 (Plage du Centenaire);;;Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironman.com/im-france;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-france/;https://www.runnersworld.de/laufkalender/ironman-france/;unclear;;;2026-06-17;;;
Lousberglauf Aachen;Running;01.07.2026;Aachen;Germany;52072 Aachen, Rütscher Straße 175 (Lousberg);;;5.5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.hochschulsport.rwth-aachen.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/lousberglauf-aachen/;https://www.runnersworld.de/laufkalender/lousberglauf-aachen/;unclear;;;2026-06-17;;;
Forster Rosen-Pokal-Lauf;Running;03.07.2026;Forst;Germany;03149 Forst, Ringstraße (Freibad);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://ltsv.de/ausdauercup-spree-neisse/termine/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/forster-rosen-pokal-lauf/;https://www.runnersworld.de/laufkalender/forster-rosen-pokal-lauf/;unclear;;;2026-06-17;;;
Brunnenfestlauf Reute;Running;03.07.2026;Bad Waldsee;Germany;88339 Bad Waldsee, Augustinerstraße (Dorfplatz in Reute);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.tsv-reute.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/brunnenfestlauf-reute/;https://www.runnersworld.de/laufkalender/brunnenfestlauf-reute/;unclear;;;2026-06-17;;;
Stubai Ultratrail Neustift;Ultramarathon;03.07.2026;Neustift;Germany;AT 6167 Neustift, Dorf 1;;;100 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.stubai.at/ultra-trail/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/stubai-ultratrail-neustift/;https://www.runnersworld.de/laufkalender/stubai-ultratrail-neustift/;unclear;;;2026-06-17;;;
Wielemer Viertele Salem-Mittelstenweiler;Running;03.07.2026;Salem-Mittelstenweiler;Germany;88682 Salem-Mittelstenweiler, Lindhalden (Dorfmitte/DGH);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://wielemer-viertele.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/wielemer-viertele-salem-mittelstenweiler/;https://www.runnersworld.de/laufkalender/wielemer-viertele-salem-mittelstenweiler/;unclear;;;2026-06-17;;;
Drevenacker Abendlauf;Running;03.07.2026;Hünxe-Drevenack;Germany;46569 Hünxe-Drevenack, Buschweg 7 (Sportplatz);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://tusdrevenack.de/laufveranstaltung-abendlauf-drevenack-huenxe/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/drevenackerabendlauf/;https://www.runnersworld.de/laufkalender/drevenackerabendlauf/;unclear;;;2026-06-17;;;
Nachtmarathon Marburg;Running;03.07.2026;Marburg;Germany;35037 Marburg, Markt 1;;;10 km, Half Marathon, Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.nachtmarathon.org/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/nachtmarathonmarburg/;https://www.runnersworld.de/laufkalender/nachtmarathonmarburg/;unclear;;;2026-06-17;;;
