event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Zugspitz Ultratrail Garmisch-Partenkirchen;Ultramarathon;18.06.2026;Garmisch-Partenkirchen;Germany;82467 Garmisch-Partenkirchen, Karl-u.-Martin-Neuner-Platz 1 (Skistadion/Olympiahaus);;;161 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.zugspitz-ultratrail.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/zugspitz-ultratrail-garmisch-partenkirchen/;https://www.runnersworld.de/laufkalender/zugspitz-ultratrail-garmisch-partenkirchen/;unclear;;;2026-06-17;;;
Vienna Summer Night Race;Running;18.06.2026;Wien;Austria;AT 1020 Wien, Hauptallee (Praterstern);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.lcc-wien.at/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/vienna-summer-night-race/;https://www.runnersworld.de/laufkalender/vienna-summer-night-race/;unclear;;;2026-06-17;;;
CampUS Run Stuttgart;Running;18.06.2026;Stuttgart;Germany;70569 Stuttgart, Allmandring 28f (Vaihingen);;;12 km, 6 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.hochschulsport.uni-stuttgart.de/event/tk-campus-cup/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/campus-run-stuttgart/;https://www.runnersworld.de/laufkalender/campus-run-stuttgart/;unclear;;;2026-06-17;;;
Legdener Mittsommernachtslauf;Running;19.06.2026;Legden;Germany;48739 Legden, Nordring 39 (Dahliendorfstadion);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://susvolkslauf.chayns.site/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/legdener-mittsommernachtslauf/;https://www.runnersworld.de/laufkalender/legdener-mittsommernachtslauf/;unclear;;;2026-06-17;;;
MidSummerRun Hamburg;Running;19.06.2026;Hamburg;Germany;22391 Hamburg, Wellingsbüttler Weg 75 B (Wiese am Torhaus);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.lauftreff-alstertal.de/midsummerrun;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/mid-summer-run-hamburg/;https://www.runnersworld.de/laufkalender/mid-summer-run-hamburg/;unclear;;;2026-06-17;;;
Sonnenwendlauf Markkleeberg Winter-Edition;Running;19.06.2026;Markkleeberg;Germany;04416 Markkleeberg, Ostuferweg (Cospudener Combüse);;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.sparkassen-sonnenwendlauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/sonnenwendlauf-markkleeberg-winter-edition/;https://www.runnersworld.de/laufkalender/sonnenwendlauf-markkleeberg-winter-edition/;unclear;;;2026-06-17;;;
Altstadtlauf Heppenheim;Running;19.06.2026;Heppenheim;Germany;64646 Heppenheim, Graben 1;;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.altstadtlauf-heppenheim.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/altstadtlaufheppenheim/;https://www.runnersworld.de/laufkalender/altstadtlaufheppenheim/;unclear;;;2026-06-17;;;
Wallauer Mittsommerlauf;Running;19.06.2026;Hofheim-Wallau;Germany;65719 Hofheim-Wallau, Am Rheingauer Weg 16 (Sportgelände des TV Wallau);;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.mittsommerlauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/wallauer-mittsommerlauf/;https://www.runnersworld.de/laufkalender/wallauer-mittsommerlauf/;unclear;;;2026-06-17;;;
Seelbach-Schwarzwald-Sonnwendlauf;Running;19.06.2026;Seelbach;Germany;77960 Seelbach, Ludwig-Auerbach Straße 2 (Sporthalle Seelbach);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.sonnwendlauf-seelbach.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/sonnwendlaufseelbach/;https://www.runnersworld.de/laufkalender/sonnwendlaufseelbach/;unclear;;;2026-06-17;;;
Sonnenwendlauf Markleeberg;Running;19.06.2026;Markkleeberg;Germany;04416 Markkleeberg, Ostuferweg 1 (Start/Ziel an der Cospudener Combüse);;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.sparkassen-sonnenwendlauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/sonnenwendlauf-markleeberg/;https://www.runnersworld.de/laufkalender/sonnenwendlauf-markleeberg/;unclear;;;2026-06-17;;;
Fürstenwaldlauf Ochsenhausen;Running;19.06.2026;Ochsenhausen;Germany;88416 Ochsenhausen, Hopfengarten 1 (Sportplatz);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.svochsenhausen.de/leichtathletik/fuerstenwaldlauf/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/fuerstenwaldlauf-ochsenhausen/;https://www.runnersworld.de/laufkalender/fuerstenwaldlauf-ochsenhausen/;unclear;;;2026-06-17;;;
Burgberglauf Gehrden;Running;20.06.2026;Gehrden;Germany;30989 Gehrden;;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.burgberglauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/burgberglauf-gehrden/;https://www.runnersworld.de/laufkalender/burgberglauf-gehrden/;unclear;;;2026-06-17;;;
Nacht von Borgholzhausen;Running;20.06.2026;Borgholzhausen;Germany;33829 Borgholzhausen, Schulstraße;;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.lcsolbad.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/nachtvonborgholzhausen/;https://www.runnersworld.de/laufkalender/nachtvonborgholzhausen/;unclear;;;2026-06-17;;;
Rothsee-Triathlon Hilpoltstein;Running;20.06.2026;Hilpoltstein;Germany;91161 Hilpoltstein, Am Rothsee 1 (Seezentrum Heuberg);;;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.rothsee-triathlon.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/rothsee-triathlon-hilpoltstein/;https://www.runnersworld.de/laufkalender/rothsee-triathlon-hilpoltstein/;unclear;;;2026-06-17;;;
Horremer Abendlauf Kerpen;Running;20.06.2026;Kerpen;Germany;50196 Kerpen, Friedrich-Ebert-Platz;;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.horremer-abendlauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/horremerabendlauf/;https://www.runnersworld.de/laufkalender/horremerabendlauf/;unclear;;;2026-06-17;;;
