event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Ilmenauer Teamtriathlon;Triathlon;19.08.2026;Ilmenau;Germany;Ilmenau, Germany;;;Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.teamtria.de/ausschreibung-triathlon/;running.life discovery, official target URL, source: https://running.life/de/termine/ilmenauer-teamtriathlon;https://running.life/de/termine/ilmenauer-teamtriathlon;unclear;;;2026-06-17;;;
Allgäu Triathlon - Immenstadt im Allgäu;Triathlon;21.08.2026;Immenstadt im Allgäu;Germany;Immenstadt im Allgäu, Germany;;;Sprint Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.triathlonbundesliga.de/events/2026/allgaeu;running.life discovery, official target URL, source: https://running.life/de/termine/allgau-triathlon;https://running.life/de/termine/allgau-triathlon;unclear;;;2026-06-17;;;
Kettenkamper Volkslauf;Running;21.08.2026;Kettenkamp;Germany;Kettenkamp, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.laufen-os.de/wettkaempfe/kettenkamper-volkslauf-2026;running.life discovery, official target URL, source: https://running.life/de/termine/kettenkamper-volkslauf;https://running.life/de/termine/kettenkamper-volkslauf;registration_open;;;2026-06-17;;;
Peitz Bewegt Sich;Running;21.08.2026;Peitz;Germany;Peitz, Germany;;;5 km, 10 km, Half Marathon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.berlin-timing.de/Peitz-bewegt-sich;running.life discovery, official target URL, source: https://running.life/de/termine/peitz-bewegt-sich;https://running.life/de/termine/peitz-bewegt-sich;registration_open;;;2026-06-17;;;
Volkslauf rund um Zehnhausen - Landau in der Pfalz;Running;21.08.2026;Landau in der Pfalz;Germany;Landau in der Pfalz, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.ergebnisliste.de/wlc-laufveranstaltungen/volkslauf-zehnhausen;running.life discovery, official target URL, source: https://running.life/de/termine/jedermanns-lauf-zehnhausen;https://running.life/de/termine/jedermanns-lauf-zehnhausen;registration_open;;;2026-06-17;;;
Herxheimer Abendstraßenlauf mit Pfalzmeisterschaften 10k - Herxheim bei Landau (Pfalz);Running;21.08.2026;Herxheim bei Landau (Pfalz);Germany;Herxheim bei Landau (Pfalz), Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.tv-herxheim.de/veranstaltungen/abendstrassenlauf/;running.life discovery, official target URL, source: https://running.life/de/termine/herxheimer-abendstrassenlauf-mit-pfalzmeisterschaften-10k;https://running.life/de/termine/herxheimer-abendstrassenlauf-mit-pfalzmeisterschaften-10k;registration_open;;;2026-06-17;;;
Ahnepark-Lauf der Laufgemeinschaft Vellmar;Running;21.08.2026;Vellmar;Germany;Vellmar, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://lauftreff-hofgeismar.de/termine/6-ahnepark-lauf-der-laufgemeinschaft-vellmar/;running.life discovery, official target URL, source: https://running.life/de/termine/ahnepark-lauf-der-laufgemeinschaft-vellmar;https://running.life/de/termine/ahnepark-lauf-der-laufgemeinschaft-vellmar;registration_open;;;2026-06-17;;;
Sparkassen-Volkslauf Bollendorf - Burgwald;Running;22.08.2026;Burgwald;Germany;Burgwald, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/339471/;running.life discovery, official target URL, source: https://running.life/de/termine/sparkassen-volkslauf-bollendorf;https://running.life/de/termine/sparkassen-volkslauf-bollendorf;registration_open;;;2026-06-17;;;
Lemgoer Hanselauf;Running;21.08.2026;Lemgo;Germany;Lemgo, Germany;;;10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.tv-lemgo.de/events/hanselauf/;running.life discovery, official target URL, source: https://running.life/de/termine/lemgoer-hanselauf;https://running.life/de/termine/lemgoer-hanselauf;registration_open;;;2026-06-17;;;
Heideköniginnenpokal (HeiPo) - Amelinghausen;Running;22.08.2026;Amelinghausen;Germany;Amelinghausen, Germany;;;10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.mtv-lauftreff.de/unsere-volksl%C3%A4ufe;running.life discovery, official target URL, source: https://running.life/de/termine/heidekoniginnenpokal-heipo;https://running.life/de/termine/heidekoniginnenpokal-heipo;registration_open;;;2026-06-17;;;
Exter FlexRun - Vlotho;Running;22.08.2026;Vlotho;Germany;Vlotho, Germany;;;5 km, 10 km, Half Marathon, Marathon;Endurance event discovered via running.life and linked to an official website or official registration page.;http://www.exterflexrun.de/;running.life discovery, official target URL, source: https://running.life/de/termine/exter-flexrun;https://running.life/de/termine/exter-flexrun;registration_open;;;2026-06-17;;;
Schlosstriathlon Kossenblatt - Tauche;Triathlon;22.08.2026;Tauche;Germany;Tauche, Germany;;;Olympic Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.berlin-timing.de/Schlosstriathlon-Kossenblatt;running.life discovery, official target URL, source: https://running.life/de/termine/schlosstriathlon-kossenblatt;https://running.life/de/termine/schlosstriathlon-kossenblatt;registration_open;;;2026-06-17;;;
Sieber Berg- und Panoramalauf - Harz;Running;22.08.2026;Harz;Germany;Harz, Germany;;;5 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/375277/;running.life discovery, official target URL, source: https://running.life/de/termine/sieber-berg-und-panoramalauf;https://running.life/de/termine/sieber-berg-und-panoramalauf;unclear;;;2026-06-17;;;
Emder Vielfaltslauf - Emden;Running;22.08.2026;Emden;Germany;Emden, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://obw-emden.de/die-obw/middenmang-loop/;running.life discovery, official target URL, source: https://running.life/de/termine/middenmang-loop-1-emder-vielfaltslauf/2026-08-22;https://running.life/de/termine/middenmang-loop-1-emder-vielfaltslauf/2026-08-22;registration_open;;;2026-06-17;;;
Stadtwerkelauf Delitzsch;Running;22.08.2026;Delitzsch;Germany;Delitzsch, Germany;;;10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://stadtwerkelauf-delitzsch.de/;running.life discovery, official target URL, source: https://running.life/de/termine/stadtwerkelauf-delitzsch;https://running.life/de/termine/stadtwerkelauf-delitzsch;registration_open;;;2026-06-17;;;
Lintiger Waldrundenlauf - Geestland;Running;22.08.2026;Geestland;Germany;Geestland, Germany;;;5 km, 10 km, Half Marathon, Marathon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/364715/;running.life discovery, official target URL, source: https://running.life/de/termine/lintiger-waldrundenlauf;https://running.life/de/termine/lintiger-waldrundenlauf;registration_open;;;2026-06-17;;;
Seven Summits Siegen;Ultramarathon;22.08.2026;Siegen;Germany;Siegen, Germany;;;50 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.seven-summits-siegen.de/;running.life discovery, official target URL, source: https://running.life/de/termine/seven-summits-siegen;https://running.life/de/termine/seven-summits-siegen;registration_open;;;2026-06-17;;;
Emsland Triathlon - Meppen;Triathlon;22.08.2026;Meppen;Germany;Meppen, Germany;;;Sprint Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/386747/;running.life discovery, official target URL, source: https://running.life/de/termine/emsland-triathlon;https://running.life/de/termine/emsland-triathlon;registration_open;;;2026-06-17;;;
Rammelsberger Steigerlauf - Goslar;Ultramarathon;22.08.2026;Goslar;Germany;Goslar, Germany;;;10 km, Half Marathon, Marathon, 56 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://rammelsberger-steigerlauf.de/;running.life discovery, official target URL, source: https://running.life/de/termine/rammelsberger-steigerlauf;https://running.life/de/termine/rammelsberger-steigerlauf;registration_open;;;2026-06-17;;;
Jedermanntriathlon - Neustrelitz;Triathlon;22.08.2026;Neustrelitz;Germany;Neustrelitz, Germany;;;Sprint Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://jedermann-triathlon.de/;running.life discovery, official target URL, source: https://running.life/de/termine/jedermanntriathlon;https://running.life/de/termine/jedermanntriathlon;registration_open;;;2026-06-17;;;
Gebirgsmarathon Immenstadt - Immenstadt im Allgäu;Running;22.08.2026;Immenstadt im Allgäu;Germany;Immenstadt im Allgäu, Germany;;;Marathon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.gebirgsmarathon.com/;running.life discovery, official target URL, source: https://running.life/de/termine/gebirgsmarathon-immenstadt;https://running.life/de/termine/gebirgsmarathon-immenstadt;unclear;;;2026-06-17;;;
Kühlungsborner Sommernachtlauf;Running;22.08.2026;Kühlungsborn;Germany;Kühlungsborn, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.kuehlungsborn.de/sommernachtslauf/;running.life discovery, official target URL, source: https://running.life/de/termine/kuhlungsborner-sommernachtlauf;https://running.life/de/termine/kuhlungsborner-sommernachtlauf;registration_open;;;2026-06-17;;;
Elm-Lappwald Triathlon - Helmstedt;Triathlon;22.08.2026;Helmstedt;Germany;Helmstedt, Germany;;;Sprint Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/397154/;running.life discovery, official target URL, source: https://running.life/de/termine/elm-lappwald-triathlon;https://running.life/de/termine/elm-lappwald-triathlon;registration_open;;;2026-06-17;;;
Michelsmarktlauf - Reichelsheim (Odenwald);Running;22.08.2026;Reichelsheim (Odenwald);Germany;Reichelsheim (Odenwald), Germany;;;10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.ksv-reichelsheim.de/abteilungen/leichtathletik/michelsmarktlauf/;running.life discovery, official target URL, source: https://running.life/de/termine/michelsmarktlauf;https://running.life/de/termine/michelsmarktlauf;unclear;;;2026-06-17;;;
Ring of Feier - Hermeskeil;Running;22.08.2026;Hermeskeil;Germany;Hermeskeil, Germany;;;5 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.chiplauf.de/de/events/ring-of-feier-2026;running.life discovery, official target URL, source: https://running.life/de/termine/ring-of-feier;https://running.life/de/termine/ring-of-feier;registration_open;;;2026-06-17;;;
Muldental-Triathlon - Grimma;Triathlon;23.08.2026;Grimma;Germany;Grimma, Germany;;;Olympic Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://muldental-triathlon.de/;running.life discovery, official target URL, source: https://running.life/de/termine/muldental-triathlon;https://running.life/de/termine/muldental-triathlon;registration_open;;;2026-06-17;;;
Hachede-Triathlon - Geesthacht;Triathlon;23.08.2026;Geesthacht;Germany;Geesthacht, Germany;;;Olympic Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://hachede-triathlon.de/;running.life discovery, official target URL, source: https://running.life/de/termine/hachede-triathlon;https://running.life/de/termine/hachede-triathlon;registration_open;;;2026-06-17;;;
Rag Hartfüssler Trail - Saarbrücken;Ultramarathon;23.08.2026;Saarbrücken;Germany;Saarbrücken, Germany;;;Marathon, 58 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.hartfuesslertrail.de/;running.life discovery, official target URL, source: https://running.life/de/termine/rag-hartfussler-trail;https://running.life/de/termine/rag-hartfussler-trail;registration_open;;;2026-06-17;;;
Berliner Straßenlauf - Die Generalprobe;Running;23.08.2026;Berlin;Germany;Berlin, Germany;;;10 km, Half Marathon, Marathon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.berliner-generalprobe.de/;running.life discovery, official target URL, source: https://running.life/de/termine/berliner-strassenlauf-die-generalprobe;https://running.life/de/termine/berliner-strassenlauf-die-generalprobe;registration_open;;;2026-06-17;;;
Eschweiler Citylauf;Running;23.08.2026;Eschweiler;Germany;Eschweiler, Germany;;;5 km, 10 km, Marathon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://mc-eschweiler.de/veranstaltungen/killewittchenlauf/;running.life discovery, official target URL, source: https://running.life/de/termine/eschweiler-citylauf;https://running.life/de/termine/eschweiler-citylauf;registration_open;;;2026-06-17;;;
Breisgau Triathlon - Malterdingen;Triathlon;23.08.2026;Malterdingen;Germany;Malterdingen, Germany;;;Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.breisgau-triathlon.de/;running.life discovery, official target URL, source: https://running.life/de/termine/breisgau-triathlon;https://running.life/de/termine/breisgau-triathlon;registration_open;;;2026-06-17;;;
Rosengartenlauf;Ultramarathon;23.08.2026;Rosengarten;Germany;Rosengarten, Germany;;;5 km, 10 km, Half Marathon, Marathon, 50 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://rosengartenlauf.de/;running.life discovery, official target URL, source: https://running.life/de/termine/rosengartenlauf;https://running.life/de/termine/rosengartenlauf;unclear;;;2026-06-17;;;
Florstadt Halbmarathon;Running;23.08.2026;Florstadt;Germany;Florstadt, Germany;;;Half Marathon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://ltflorstadt.de/halbmarathon;running.life discovery, official target URL, source: https://running.life/de/termine/florstadt-halbmarathon;https://running.life/de/termine/florstadt-halbmarathon;registration_open;;;2026-06-17;;;
Erfurt-Triathlon;Triathlon;23.08.2026;Erfurt;Germany;Erfurt, Germany;;;Olympic Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/387393/;running.life discovery, official target URL, source: https://running.life/de/termine/erfurt-triathlon;https://running.life/de/termine/erfurt-triathlon;registration_open;;;2026-06-17;;;
Bokeler Volkslauf - Rietberg;Running;23.08.2026;Rietberg;Germany;Rietberg, Germany;;;6 km, 12 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/390599/;running.life discovery, official target URL, source: https://running.life/de/termine/bokeler-volkslauf;https://running.life/de/termine/bokeler-volkslauf;registration_open;;;2026-06-17;;;
Hildesheim Triathlon;Triathlon;23.08.2026;Hildesheim;Germany;Hildesheim, Germany;;;Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://portal.run-timing.de/993/registration;running.life discovery, official target URL, source: https://running.life/de/termine/hildesheim-triathlon;https://running.life/de/termine/hildesheim-triathlon;registration_open;;;2026-06-17;;;
Breitunger Pleßlauf - Breitungen/Werra;Running;23.08.2026;Breitungen/Werra;Germany;Breitungen/Werra, Germany;;;30 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.plesslauf.de/;running.life discovery, official target URL, source: https://running.life/de/termine/breitunger-pless-berglauf;https://running.life/de/termine/breitunger-pless-berglauf;registration_open;;;2026-06-17;;;
Viernheimer Triathlon;Triathlon;23.08.2026;Viernheim;Germany;Viernheim, Germany;;;Olympic Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://triathlonviernheim.de/viernheimer-triathlon/infos/ausschreibungen/;running.life discovery, official target URL, source: https://running.life/de/termine/viernheimer-triathlon;https://running.life/de/termine/viernheimer-triathlon;unclear;;;2026-06-17;;;
Bürostadtlauf Frankfurt - Frankfurt am Main;Ultramarathon;27.08.2026;Frankfurt am Main;Germany;Frankfurt am Main, Germany;;;5 km, 10 km, 50 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://buerostadtlauf.de/;running.life discovery, official target URL, source: https://running.life/de/termine/burostadtlauf-frankfurt;https://running.life/de/termine/burostadtlauf-frankfurt;unclear;;;2026-06-17;;;
LSG-Waldauer-Wiesen-Lauf - Kassel;Running;28.08.2026;Kassel;Germany;Kassel, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/374080/;running.life discovery, official target URL, source: https://running.life/de/termine/lsg-waldauer-wiesen-lauf;https://running.life/de/termine/lsg-waldauer-wiesen-lauf;registration_open;;;2026-06-17;;;
Ibbenbürener Aaseelauf;Running;28.08.2026;Ibbenbüren;Germany;Ibbenbüren, Germany;;;5 km, 10 km, Marathon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.marathon-ibbenbueren.de/aaseelauf;running.life discovery, official target URL, source: https://running.life/de/termine/ibbenburener-aaseelauf;https://running.life/de/termine/ibbenburener-aaseelauf;registration_open;;;2026-06-17;;;
Summer Run Sylt;Running;28.08.2026;Sylt;Germany;Sylt, Germany;;;7.5 km, 8 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/388266/;running.life discovery, official target URL, source: https://running.life/de/termine/summer-run-sylt;https://running.life/de/termine/summer-run-sylt;registration_open;;;2026-06-17;;;
Sommerabendlauf des TuS Köln;Running;28.08.2026;Köln;Germany;Köln, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.tuskoeln.de/sommerabendlauf;running.life discovery, official target URL, source: https://running.life/de/termine/sommerabendlauf;https://running.life/de/termine/sommerabendlauf;registration_open;;;2026-06-17;;;
"Straßenlauf ""Rund um den Holtenauer Leuchtturm"" - Kiel";Running;28.08.2026;Kiel;Germany;Kiel, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.davengo.com/event/overview/31-strassenlauf-rund-um-den-holtenauer-leuchtturm-2026;running.life discovery, official target URL, source: https://running.life/de/termine/strassenlauf-rund-um-den-holtenauer-leuchtturm;https://running.life/de/termine/strassenlauf-rund-um-den-holtenauer-leuchtturm;unclear;;;2026-06-17;;;
Abendlauf in Recklinghausen;Running;28.08.2026;Recklinghausen;Germany;Recklinghausen, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/397333/;running.life discovery, official target URL, source: https://running.life/de/termine/abendlauf-in-recklinghausen;https://running.life/de/termine/abendlauf-in-recklinghausen;registration_open;;;2026-06-17;;;
Maare-Mosel-Lauf - Saxler;Running;29.08.2026;Saxler;Germany;Saxler, Germany;;;5 km, 10 km, Half Marathon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://runtix.com/sts/10021/3040;running.life discovery, official target URL, source: https://running.life/de/termine/maare-mosel-lauf;https://running.life/de/termine/maare-mosel-lauf;unclear;;;2026-06-17;;;
Heideblütenlauf - Schneverdingen;Running;29.08.2026;Schneverdingen;Germany;Schneverdingen, Germany;;;5 km, 10 km;Endurance event discovered via running.life and linked to an official website or official registration page.;https://www.tvjahn.de/sport/lauftreff/heidebluetenlauf/;running.life discovery, official target URL, source: https://running.life/de/termine/heideblutenlauf;https://running.life/de/termine/heideblutenlauf;registration_open;;;2026-06-17;;;
Trifun Pellworm;Triathlon;29.08.2026;Pellworm;Germany;Pellworm, Germany;;;Triathlon;Endurance event discovered via running.life and linked to an official website or official registration page.;https://my.raceresult.com/373462/;running.life discovery, official target URL, source: https://running.life/de/termine/trifun-pellworm;https://running.life/de/termine/trifun-pellworm;registration_open;;;2026-06-17;;;
