event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Salt Lake City Marathon - Team RWB Marathon Relay;Running;24.04.2027;Salt Lake City;US;451 S 200 E, Salt Lake City, UT, US;;;26.2 Miles;Voted Utah’s “ Best Running Event ” and “ Best Half Marathon ,” the University of Utah Health Salt Lake City Marathon Presented by Bank of America returns for its 24th annual event on April 24, 2027— where urban meets the mountains . Starting at the Olympic Legacy Bridge, this stunning course delivers sweeping views of the Wasatch Mountains while guiding runners through some of Salt Lake City’s most iconic neighborhoods, before finishing in the heart of downtown. Cross the finish line, soak in;https://runsignup.com/Race/UT/SaltLakeCity/saltlakecitymarathon;RunSignup;
Salt Lake City Marathon;Running;24.04.2027;Salt Lake City;US;451 S 200 E, Salt Lake City, UT, US;;;26.2 Miles;Voted Utah’s “ Best Running Event ” and “ Best Half Marathon ,” the University of Utah Health Salt Lake City Marathon Presented by Bank of America returns for its 24th annual event on April 24, 2027— where urban meets the mountains . Starting at the Olympic Legacy Bridge, this stunning course delivers sweeping views of the Wasatch Mountains while guiding runners through some of Salt Lake City’s most iconic neighborhoods, before finishing in the heart of downtown. Cross the finish line, soak in;https://runsignup.com/Race/UT/SaltLakeCity/saltlakecitymarathon;RunSignup;
Salt Lake City Marathon - Salt Lake City Half Marathon;Running;24.04.2027;Salt Lake City;US;451 S 200 E, Salt Lake City, UT, US;;;13.1 Miles;Voted Utah’s “ Best Running Event ” and “ Best Half Marathon ,” the University of Utah Health Salt Lake City Marathon Presented by Bank of America returns for its 24th annual event on April 24, 2027— where urban meets the mountains . Starting at the Olympic Legacy Bridge, this stunning course delivers sweeping views of the Wasatch Mountains while guiding runners through some of Salt Lake City’s most iconic neighborhoods, before finishing in the heart of downtown. Cross the finish line, soak in;https://runsignup.com/Race/UT/SaltLakeCity/saltlakecitymarathon;RunSignup;
Salt Lake City Marathon - Salt Lake City 10K Run/Walk;Running;24.04.2027;Salt Lake City;US;451 S 200 E, Salt Lake City, UT, US;;;10K;Voted Utah’s “ Best Running Event ” and “ Best Half Marathon ,” the University of Utah Health Salt Lake City Marathon Presented by Bank of America returns for its 24th annual event on April 24, 2027— where urban meets the mountains . Starting at the Olympic Legacy Bridge, this stunning course delivers sweeping views of the Wasatch Mountains while guiding runners through some of Salt Lake City’s most iconic neighborhoods, before finishing in the heart of downtown. Cross the finish line, soak in;https://runsignup.com/Race/UT/SaltLakeCity/saltlakecitymarathon;RunSignup;
Salt Lake City Marathon - Salt Lake City 5K Run/Walk;Running;24.04.2027;Salt Lake City;US;451 S 200 E, Salt Lake City, UT, US;;;5K;Voted Utah’s “ Best Running Event ” and “ Best Half Marathon ,” the University of Utah Health Salt Lake City Marathon Presented by Bank of America returns for its 24th annual event on April 24, 2027— where urban meets the mountains . Starting at the Olympic Legacy Bridge, this stunning course delivers sweeping views of the Wasatch Mountains while guiding runners through some of Salt Lake City’s most iconic neighborhoods, before finishing in the heart of downtown. Cross the finish line, soak in;https://runsignup.com/Race/UT/SaltLakeCity/saltlakecitymarathon;RunSignup;
Salt Lake City Marathon - Salt Lake City Kids K;Running;24.04.2027;Salt Lake City;US;451 S 200 E, Salt Lake City, UT, US;;;1K;Voted Utah’s “ Best Running Event ” and “ Best Half Marathon ,” the University of Utah Health Salt Lake City Marathon Presented by Bank of America returns for its 24th annual event on April 24, 2027— where urban meets the mountains . Starting at the Olympic Legacy Bridge, this stunning course delivers sweeping views of the Wasatch Mountains while guiding runners through some of Salt Lake City’s most iconic neighborhoods, before finishing in the heart of downtown. Cross the finish line, soak in;https://runsignup.com/Race/UT/SaltLakeCity/saltlakecitymarathon;RunSignup;
John’s Run/Walk Shop’s FREE Community 5Ks - Free Community 5K (June 13);Running;13.06.2026;Lexington;US;3090 Helmsdale Pl, Lexington, KY, US;;;Free Community 5K (June 13);Meet up for a Hamburg-area group run/walk every Saturday morning at 7:30 am. Check in at the John s Run/Walk Shop booth in the parking lot at 3090 Helmsdale Place in Lexington. All paces welcome. Then, join us for a FREE 5K on the 2nd Saturday of each month. We ll bring our timing clock so you can track your progress, and we ll provide snacks and water.;https://runsignup.com/Race/KY/Lexington/JRWSCommunity5Ks;RunSignup;
John’s Run/Walk Shop’s FREE Community 5Ks - Free Community 5K (July 11);Running;11.07.2026;Lexington;US;3090 Helmsdale Pl, Lexington, KY, US;;;Free Community 5K (July 11);Meet up for a Hamburg-area group run/walk every Saturday morning at 7:30 am. Check in at the John s Run/Walk Shop booth in the parking lot at 3090 Helmsdale Place in Lexington. All paces welcome. Then, join us for a FREE 5K on the 2nd Saturday of each month. We ll bring our timing clock so you can track your progress, and we ll provide snacks and water.;https://runsignup.com/Race/KY/Lexington/JRWSCommunity5Ks;RunSignup;
John’s Run/Walk Shop’s FREE Community 5Ks - Free Community 5K (August 8);Running;08.08.2026;Lexington;US;3090 Helmsdale Pl, Lexington, KY, US;;;Free Community 5K (August 8);Meet up for a Hamburg-area group run/walk every Saturday morning at 7:30 am. Check in at the John s Run/Walk Shop booth in the parking lot at 3090 Helmsdale Place in Lexington. All paces welcome. Then, join us for a FREE 5K on the 2nd Saturday of each month. We ll bring our timing clock so you can track your progress, and we ll provide snacks and water.;https://runsignup.com/Race/KY/Lexington/JRWSCommunity5Ks;RunSignup;
John’s Run/Walk Shop’s FREE Community 5Ks - Free Community 5K (September 12);Running;12.09.2026;Lexington;US;3090 Helmsdale Pl, Lexington, KY, US;;;Free Community 5K (September 12);Meet up for a Hamburg-area group run/walk every Saturday morning at 7:30 am. Check in at the John s Run/Walk Shop booth in the parking lot at 3090 Helmsdale Place in Lexington. All paces welcome. Then, join us for a FREE 5K on the 2nd Saturday of each month. We ll bring our timing clock so you can track your progress, and we ll provide snacks and water.;https://runsignup.com/Race/KY/Lexington/JRWSCommunity5Ks;RunSignup;
