severity;event_name;event_id;city;country;address;latitude;longitude;issues;distance_to_city_km;distance_to_address_km;confidence_score;suggested_latitude;suggested_longitude;recommended_action
clean;Bielefelder Triathlon;bielefelder-triathlon-bielefeld-28-06-2026;Bielefeld;Germany;Senner Waldbad, Am Waldbad 72, 33659 Bielefeld;51.9622218;8.526118;;6.3;0.0;0.95;;;No pin action required.
clean;Sörmlands 100 Trail Run;sormlands-100-trail-run-bjornlunda-11-09-2026;Björnlunda;Sweden;Öster-Malma Castle, 611 91 Björnlunda, Nyköping Municipality, Sweden;58.95083;17.15806;;12.8;;0.95;;;No pin action required.
clean;IRONMAN Hamburg European Championship;ironman-hamburg-european-championship-hamburg-07-06-2026;Hamburg;Germany;Jungfernstieg 53, 20354 Hamburg;53.554191;9.9911391;;0.8;0.0;0.95;;;No pin action required.
clean;IRONMAN Frankfurt;ironman-frankfurt-frankfurt-28-06-2026;Frankfurt;Germany;Mainkai, 60311 Frankfurt;50.1093261;8.6837057;;0.2;0.0;0.95;;;No pin action required.
clean;IRONMAN 70.3 Duisburg;ironman-70-3-duisburg-duisburg-16-08-2026;Duisburg;Germany;Kruppstraße 30, 47055 Duisburg;51.3947457;6.7114351;;5.6;0.0;0.95;;;No pin action required.
clean;IRONMAN 70.3 Leipzig;ironman-70-3-leipzig-leipzig-23-08-2026;Leipzig;Germany;Leipzig, Germany;51.3406321;12.3747329;;0.0;;0.95;;;No pin action required.
clean;IRONMAN 70.3 Erkner;ironman-70-3-erkner-erkner-13-09-2026;Erkner;Germany;Erkner, Germany;52.4259804;13.7542811;;0.0;;0.95;;;No pin action required.
clean;IRONMAN Kaernten-Klagenfurt Austria;ironman-kaernten-klagenfurt-austria-klagenfurt-14-06-2026;Klagenfurt;Austria;Klagenfurt, Austria;46.623943;14.3075976;;0.0;;0.95;;;No pin action required.
clean;IRONMAN 70.3 European Championship Elsinore;ironman-70-3-european-championship-elsinore-elsinore-21-06-2026;Elsinore;Denmark;Elsinore, Denmark;56.0348739;12.6130073;;0.0;;0.95;;;No pin action required.
clean;IRONMAN 70.3 Westfriesland;ironman-70-3-westfriesland-hoorn-21-06-2026;Hoorn;Netherlands;Hoorn, Netherlands;52.653272;5.0735802;;0.0;;0.95;;;No pin action required.
clean;IRONMAN Switzerland Thun;ironman-switzerland-thun-thun-05-07-2026;Thun;Switzerland;Thun, Switzerland;46.7582827;7.628086;;0.0;;0.95;;;No pin action required.
